gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	HR	Croatia	European Parliament		178362315106	Facebook	38	1	3963893	1836535	12621	2779
f	female	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	60	1	1599004	627557	3216	183
f	female	HR	Croatia	Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	26	1	1167098	400810	2493	268
f	female	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	50	1	826756	221272	2631	295
f	female	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	39	1	665295	230316	2073	204
f	female	HR	Croatia	pametno.org	pametno.org	144815235686385	Facebook	27	1	630120	198189	1254	39
f	female	HR	Croatia	Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	19	1	591814	218231	1055	82
f	female	HR	Croatia	European Greens	European Greens	141366725876424	Facebook	14	1	590787	263253	2214	652
f	female	HR	Croatia	Eclectica		1379977375431894	Facebook	1	1	574406	287203	2555	511
f	female	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	74	1	502883	122945	3205	30
f	female	HR	Croatia	Ruža Tomašić		1434305366791182	Facebook	38	1	496382	127784	1365	0
f	female	HR	Croatia	Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	17	1	478157	161414	1024	93
f	female	HR	Croatia	GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	10	1	409015	130498	629	42
f	female	HR	Croatia	Zoran Bahtijarević		2195720960680577	Facebook	4	1	391222	184930	1148	216
f	female	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	19	1	364914	102955	1220	144
f	female	HR	Croatia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	47	1	315922	148421	757	210
f	female	HR	Croatia	Kialo		729627343834501	Facebook	317	1	283158	121094	1345	344
f	female	HR	Croatia	Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	10	1	270328	104402	972	69
f	female	HR	Croatia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	26	1	243373	82750	669	54
f	female	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	14	1	232925	96390	882	78
f	female	HR	Croatia	Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	15	1	208260	45471	606	0
f	female	HR	Croatia	Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	7	1	200553	68833	448	42
f	female	HR	Croatia	Electrolux Hrvatska		1229501663771543	Facebook	3	1	160350	80175	115	0
f	female	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	15	1	141605	32434	980	119
f	female	HR	Croatia	Ranko Ostojić		414575348695604	Facebook	14	1	140044	31382	872	0
