day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d146	2019-05-26	CY	Cyprus	98	28	1552852	609943	6746	895
d145	2019-05-25	CY	Cyprus	165	40	2078722	750041	9170	1041
d144	2019-05-24	CY	Cyprus	358	49	3797696	1345218	17361	1869
d143	2019-05-23	CY	Cyprus	374	48	3386658	1184091	15522	1525
d142	2019-05-22	CY	Cyprus	339	44	2845640	1005913	12238	1184
d141	2019-05-21	CY	Cyprus	279	40	2136784	777227	10232	1070
d140	2019-05-20	CY	Cyprus	193	37	1311543	475711	5177	378
d139	2019-05-19	CY	Cyprus	94	33	824090	273693	2692	193
d138	2019-05-18	CY	Cyprus	63	27	507390	171755	1614	138
d137	2019-05-17	CY	Cyprus	17	9	97008	33495	277	2
