gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u	unknown	People's Vote UK	People's Vote	748608695327755	Facebook	3183	1	1482417	518165	23489	4210
u	unknown	Britain's Future	Britain's Future	1625300137516491	Facebook	3997	1	1165461	348703	14182	1994
u	unknown	European Parliament		178362315106	Facebook	1717	1	1017222	447542	6150	1516
u	unknown	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2209	1	912219	310824	11649	1129
u	unknown	Kialo		729627343834501	Facebook	797	1	867410	342298	6460	1609
u	unknown	Best For Britain	Best for Britain	1863944713844924	Facebook	740	1	606060	255564	8236	1969
u	unknown	38 Degrees	38 Degrees	200006375787	Facebook	632	1	480571	172900	3334	486
u	unknown	Podemos	Unidas Podemos	269212336568846	Facebook	296	1	471605	212588	2905	766
u	unknown	European Greens		141366725876424	Facebook	265	1	451770	197545	3211	793
u	unknown	The Labour Party	The Labour Party	25749647410	Facebook	605	1	448561	175468	3937	802
u	unknown	Conservatives	The Conservative Party	8807334278	Facebook	1262	1	409591	154955	5514	741
u	unknown	Ciudadanos	Ciudadanos	74078667754	Facebook	3502	1	363706	111241	3686	274
u	unknown	Médecins du Monde France		265420476920	Facebook	1559	1	337331	105368	5867	470
u	unknown	Greenpeace France		39435457457	Facebook	119	1	333341	150362	1646	379
u	unknown	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	317626	116607	893	119
u	unknown	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	625	1	279584	102019	5280	969
u	unknown	Sosialidemokraatit SDP		108945982480217	Facebook	305	1	266222	103233	1675	373
u	unknown	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	542	1	258158	91662	3585	602
u	unknown	Plan International Sverige		382243262003	Facebook	310	1	243026	79927	1976	474
u	unknown	Partido Popular	Partido Popular	72249031214	Facebook	1503	1	214791	82543	1314	199
u	unknown	The Brexit Party	The Brexit Party	230416667843105	Facebook	102	1	185950	87331	2627	753
u	unknown	Right To Vote	Right to Vote	408236463256774	Facebook	350	1	153600	39043	1333	192
u	unknown	sp.a	sp.a	57253967150	Facebook	428	1	144537	58645	657	146
u	unknown	Amnesty International UK		7624294394	Facebook	83	1	131513	57276	1296	422
u	unknown	Scientists for EU	Scientists for EU	642444842524195	Facebook	62	1	127065	41105	856	144
