audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	DK	Denmark	3142	402	9178998	2785303	97760	24922
f18_24	female (18-24)	DK	Denmark	3138	405	7782328	2358647	78290	19861
m25_34	male (25-34)	DK	Denmark	3360	415	7395108	2342719	82792	20975
f25_34	female (25-34)	DK	Denmark	3341	417	6181793	1964660	67598	17102
m35_44	male (35-44)	DK	Denmark	3267	413	5459996	1814404	62647	15750
f45_54	female (45-54)	DK	Denmark	3160	405	5340255	1756221	64783	16309
m45_54	male (45-54)	DK	Denmark	3147	402	5307053	1773966	65039	16331
f35_44	female (35-44)	DK	Denmark	3248	415	5219228	1711049	58781	14932
f65_	female (65+)	DK	Denmark	2881	380	4790791	1562989	64665	16538
f55_64	female (55-64)	DK	Denmark	3061	397	4610894	1515632	58502	14960
m55_64	male (55-64)	DK	Denmark	3050	398	3831907	1276078	50057	12684
m65_	male (65+)	DK	Denmark	2809	378	2980102	979439	41334	10522
f13_17	female (13-17)	DK	Denmark	265	66	628633	192259	4385	1065
m13_17	male (13-17)	DK	Denmark	268	67	468310	147411	3571	896
u35_44	unknown (35-44)	DK	Denmark	2430	381	168096	55507	1892	477
u25_34	unknown (25-34)	DK	Denmark	2258	375	114685	36291	1257	319
u45_54	unknown (45-54)	DK	Denmark	2198	367	104104	34225	1278	321
u55_64	unknown (55-64)	DK	Denmark	2011	365	81394	26797	1053	268
u65_	unknown (65+)	DK	Denmark	1878	343	65048	20975	898	223
u18_24	unknown (18-24)	DK	Denmark	1847	339	45134	13203	480	122
u13_17	unknown (13-17)	DK	Denmark	162	54	3759	1096	28	6
