advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	10k_50k	10k - 50k	PL	Poland	10	1	499379	99877	1275	325
Bogdan Rzońca	Blue Data Bay Sp. z o.o.	247239865295508	Facebook	10k_50k	10k - 50k	PL	Poland	4	1	199996	40000	464	93
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	10k_50k	10k - 50k	PL	Poland	4	1	199996	40000	371	69
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	10k_50k	10k - 50k	PL	Poland	4	1	199953	39991	464	93
Front Europejski	Medium: agencja reklamowa	590514511295079	Facebook	10k_50k	10k - 50k	PL	Poland	3	1	149997	30000	348	69
Sylwia Spurek	KW Wiosna Roberta Biedronia 	1967695263556184	Facebook	10k_50k	10k - 50k	PL	Poland	3	1	149997	30000	348	69
Michał Boni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	693499534003775	Facebook	10k_50k	10k - 50k	PL	Poland	3	1	149997	30000	162	23
Polski Klub Ekologiczny Koło Miejskie w Gliwicach	Maria Wanda Staniszewska	291839444209363	Facebook	10k_50k	10k - 50k	PL	Poland	3	1	149965	29993	348	69
Włodzimierz Cimoszewicz. Europa i Konstytucja.	KKW Koalicja Europejska PO PSL SLD .N Zieloni	1945383395767575	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	348	139
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości	612725748801524	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	232	46
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	232	46
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	232	46
Maciej Józefowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	157504851851399	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	139	23
Joachim Brudziński	Joachim Brudziński	722625777782250	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	46	0
Poseł Jakub Rutnicki	KKW Koalicja Europejska PO PSL SLD .N Zieloni	222141244609992	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	232	46
Tomasz Latos	KW Prawo i Sprawiedliwość	308684629246305	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99998	20000	232	46
Amnesty International Polska	Amnesty International Polska	57544755889	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99915	19983	231	46
KUKIZ'15	Komitet Wyborczy Wyborców Kukiz'15	328170794051845	Facebook	10k_50k	10k - 50k	PL	Poland	2	1	99873	19975	231	46
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	23	0
Grzegorz Tobiszowski	KW Prawo i Sprawiedliwość	146655395680362	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	116	23
Przemysław Przybylski	Komitet Wyborczy Prawo i Sprawiedliwość	256850261180940	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	116	23
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	23	0
Paweł Krutul	Komitet Wyborczy Wiosna Roberta Biedronia	1798798630436202	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	116	23
Michał Korolko - profil publiczny	KKW Koalicja Europejska PO PSL SLD .N Zieloni (Michał Korolko)	334123340547325	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	116	23
Beata Maciejewska	KW Wiosna Roberta Biedronia	359606364774932	Facebook	10k_50k	10k - 50k	PL	Poland	1	1	49999	10000	23	0
