advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	45_54	45-54	UK	United Kingdom	218	1	2612927	1065919	41016	9920
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	45_54	45-54	UK	United Kingdom	3755	1	2383571	605319	54213	3365
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	45_54	45-54	UK	United Kingdom	60	1	2283820	1024193	15340	3466
Conservatives	The Conservative Party	8807334278	Facebook	45_54	45-54	UK	United Kingdom	1359	1	1338136	339118	37096	1136
The Labour Party	The Labour Party	25749647410	Facebook	45_54	45-54	UK	United Kingdom	186	1	1171275	500878	13506	2756
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	45_54	45-54	UK	United Kingdom	113	1	1065993	438015	10860	2398
People's Vote UK	People's Vote	748608695327755	Facebook	45_54	45-54	UK	United Kingdom	56	1	558745	233508	9183	2556
Amnesty International UK	Amnesty International UK	7624294394	Facebook	45_54	45-54	UK	United Kingdom	438	1	453267	95964	10553	467
Swatch	Swatch	297973083586150	Facebook	45_54	45-54	UK	United Kingdom	24	1	438324	158860	4676	1049
Best For Britain	Best for Britain	1863944713844924	Facebook	45_54	45-54	UK	United Kingdom	34	1	390152	159985	4182	908
HOPE not hate	HOPE not hate	91897231853	Facebook	45_54	45-54	UK	United Kingdom	17	1	377537	165337	2391	558
Exit from Brexit	the Liberal Democrats	1600429670027154	Facebook	45_54	45-54	UK	United Kingdom	49	1	363729	124748	3832	1044
QuoteSearch.com	QuoteSearch	2235255886787452	Facebook	45_54	45-54	UK	United Kingdom	33	1	285283	98142	4277	880
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	45_54	45-54	UK	United Kingdom	50	1	273560	64342	1111	80
School Cuts	National Education Union	871798409656672	Facebook	45_54	45-54	UK	United Kingdom	34	1	247320	54447	1294	59
Scottish Labour Party	Scottish Labour Party	310039442421596	Facebook	45_54	45-54	UK	United Kingdom	24	1	223485	62093	2712	769
38 Degrees	38 Degrees	200006375787	Facebook	45_54	45-54	UK	United Kingdom	53	1	207327	68054	1512	68
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	45_54	45-54	UK	United Kingdom	226	1	184762	46395	4992	111
West Midlands Conservatives	West Midlands Conservatives	223025417884693	Facebook	45_54	45-54	UK	United Kingdom	11	1	160677	57914	835	139
London Green Party	London Green Party	175350485880358	Facebook	45_54	45-54	UK	United Kingdom	32	1	147155	47504	1453	250
Labour North West	The Labour Party	61950489543	Facebook	45_54	45-54	UK	United Kingdom	9	1	130509	58055	1043	318
Social Democratic and Labour Party (SDLP)	Social Democratic and Labour Party (SDLP)	111956985487415	Facebook	45_54	45-54	UK	United Kingdom	33	1	126374	37165	1207	129
GMB Union	GMB Union	103295786760891	Facebook	45_54	45-54	UK	United Kingdom	7	1	121971	24313	373	0
Labour North	Labour North, Promoted by Fiona Stanton on behalf of Labour North	685018844928882	Facebook	45_54	45-54	UK	United Kingdom	17	1	121097	36360	2059	664
London Labour Party	The Labour Party	474613052643462	Facebook	45_54	45-54	UK	United Kingdom	19	1	118882	31200	1548	396
