region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
blagoevgrad_province	Blagoevgrad Province	BG	Bulgaria	313	60	85799	36462	324	56
burgas_province	Burgas Province	BG	Bulgaria	334	63	119518	40229	341	42
haskovo_province	Haskovo Province	BG	Bulgaria	319	65	85056	23320	282	15
kyustendil_province	Kyustendil Province	BG	Bulgaria	310	58	66173	17524	225	3
lovech_province	Lovech Province	BG	Bulgaria	302	57	7993	3107	24	4
montana_province	Montana Province	BG	Bulgaria	304	58	7730	3227	24	3
pazardzhik_province	Pazardzhik Province	BG	Bulgaria	311	61	43506	18877	209	18
pernik_province	Pernik Province	BG	Bulgaria	312	58	8978	3357	114	3
pleven_province	Pleven Province	BG	Bulgaria	320	61	46490	17429	149	21
plovdiv_province	Plovdiv Province	BG	Bulgaria	347	68	404116	156800	1413	245
ruse_province	Ruse Province	BG	Bulgaria	325	63	41219	16697	232	25
sliven_province	Sliven Province	BG	Bulgaria	312	61	27161	10047	79	12
smolyan_province	Smolyan Province	BG	Bulgaria	311	63	5177	2090	15	2
sofia_city_province	Sofia City Province	BG	Bulgaria	400	72	5467740	2289916	26457	4578
sofia_province	Sofia Province	BG	Bulgaria	314	61	21784	7701	233	8
stara_zagora_province	Stara Zagora Province	BG	Bulgaria	335	65	318015	120276	738	99
varna_province	Varna Province	BG	Bulgaria	344	67	487326	164732	1290	162
veliko_tarnovo_province	Veliko Tarnovo Province	BG	Bulgaria	330	66	33851	13291	192	17
vidin_province	Vidin Province	BG	Bulgaria	305	58	9206	2690	114	2
vratsa_province	Vratsa Province	BG	Bulgaria	307	58	21622	7394	272	8
yambol_province	Yambol Province	BG	Bulgaria	309	60	63349	14821	538	106
