advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	1808	1	258097192	114977000	1314271	327639
Podemos	Unidas Podemos	269212336568846	Facebook	f	Facebook	333	1	105271667	47099000	623567	162200
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	3563	1	96266437	33219000	1262884	226114
Ciudadanos	Ciudadanos	74078667754	Facebook	f	Facebook	6207	1	90945793	27826000	882993	68300
Kialo		729627343834501	Facebook	f	Facebook	845	1	85988155	33754000	566182	137018
Britain's Future	Britain's Future	1625300137516491	Facebook	f	Facebook	4488	1	83742512	25934000	1003644	137011
Partido Popular	Partido Popular	72249031214	Facebook	f	Facebook	3644	1	81745356	28177000	586556	61100
European Greens		141366725876424	Facebook	f	Facebook	277	1	58935723	26030000	335723	83400
SPD	SPD	47930567748	Facebook	f	Facebook	9423	1	55190577	15783000	1160777	61000
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	3931	1	54978069	18618000	769958	97666
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	Facebook	239	1	48450761	21709000	117146	26452
sp.a	sp.a	57253967150	Facebook	f	Facebook	456	1	46473544	18779000	219344	47600
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	2221	1	45628779	17582000	527538	71861
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	101	1	43422899	19810000	105535	30045
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	873	1	40579127	17207000	502830	118496
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	672	1	39587328	15976000	326475	70588
CDU	CDU	78502295414	Facebook	f	Facebook	3170	1	38647830	9275000	347030	8300
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	Facebook	2411	1	36783589	12716000	428494	44667
FDP	FDP	21289227249	Facebook	f	Facebook	2533	1	36449467	11142000	316067	17700
Greenpeace France		39435457457	Facebook	f	Facebook	131	1	32235869	14723000	163369	37200
România în primul rând	Future Innovation	770704223323599	Facebook	f	Facebook	95	1	31874905	13976000	32672	8194
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	Facebook	133	1	31387867	13073000	106467	28900
European Commission		107898832590939	Facebook	f	Facebook	92	1	30386908	13977000	122608	31200
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	Facebook	77	1	29975923	13798000	225423	55800
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f	Facebook	396	1	29429604	12094000	140404	26500
