audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	NL	Netherlands	105	42	268722	105192	1547	139
f25_34	female (25-34)	NL	Netherlands	110	45	253830	90097	1524	174
m25_34	male (25-34)	NL	Netherlands	110	45	248686	92731	1683	181
m18_24	male (18-24)	NL	Netherlands	105	42	213539	79143	1578	118
f45_54	female (45-54)	NL	Netherlands	106	46	206851	72509	1508	195
f35_44	female (35-44)	NL	Netherlands	108	46	202878	68618	1272	154
f55_64	female (55-64)	NL	Netherlands	103	43	166793	58720	1285	168
m35_44	male (35-44)	NL	Netherlands	106	45	161662	59899	1088	126
m45_54	male (45-54)	NL	Netherlands	105	46	156581	57582	1228	142
m55_64	male (55-64)	NL	Netherlands	103	44	114812	41822	982	113
f65_	female (65+)	NL	Netherlands	95	38	114386	39059	1002	112
m65_	male (65+)	NL	Netherlands	93	38	71491	25058	675	67
u35_44	unknown (35-44)	NL	Netherlands	81	40	2135	768	16	2
u45_54	unknown (45-54)	NL	Netherlands	75	32	1499	533	13	1
u25_34	unknown (25-34)	NL	Netherlands	69	32	1496	534	11	1
u55_64	unknown (55-64)	NL	Netherlands	71	33	918	327	8	1
u65_	unknown (65+)	NL	Netherlands	63	30	645	227	5	0
u18_24	unknown (18-24)	NL	Netherlands	56	25	489	187	4	0
m13_17	male (13-17)	NL	Netherlands	5	3	91	43	0	0
f13_17	female (13-17)	NL	Netherlands	5	3	84	39	0	0
u13_17	unknown (13-17)	NL	Netherlands	5	3	2	1	0	0
