advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	CY	Cyprus	26	1	4669972	2189107	21787	4142
Γραφείο Τύπου και Πληροφοριών - Press and Information Office	PIO Cyprus	620027974738907	Facebook	f	Facebook	CY	Cyprus	7	1	1549067	659622	4091	1399
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	f	Facebook	CY	Cyprus	112	1	1199887	290999	11487	100
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	f	Facebook	CY	Cyprus	20	1	975969	360997	2779	200
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	f	Facebook	CY	Cyprus	16	1	962975	374998	2783	299
Συμμαχία Πολιτών	ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ	470323203056530	Facebook	f	Facebook	CY	Cyprus	28	1	840919	185988	2771	0
ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ	Eleftherios Demetriou	609745702447737	Facebook	f	Facebook	CY	Cyprus	19	1	785700	195906	2679	199
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	f	Facebook	CY	Cyprus	18	1	780859	194972	2581	199
Λευτέρης Χριστοφόρου - Lefteris Christoforou	Λευτέρης Χριστοφόρου - Lefteris Christoforou	832972046731724	Facebook	f	Facebook	CY	Cyprus	24	1	756826	186964	2775	99
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	f	Facebook	CY	Cyprus	35	1	676941	197994	3864	99
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	f	Facebook	CY	Cyprus	14	1	629849	191963	2985	399
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	46620712083	Facebook	f	Facebook	CY	Cyprus	12	1	551903	139975	1587	99
Ξαναμπές στο Παιχνίδι - Ευρωεκλογές 2019		1820884184678798	Facebook	f	Facebook	CY	Cyprus	31	1	521754	112954	3067	0
European Commission	European Commission	107898832590939	Facebook	f	Facebook	CY	Cyprus	19	1	502917	236716	818	219
European Greens	European Greens	141366725876424	Facebook	f	Facebook	CY	Cyprus	3	1	379328	178397	2459	492
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	f	Facebook	CY	Cyprus	13	1	344459	155738	2083	199
Παναγιώτης Σεντώνας - Panayiotis Sentonas	Παναγιώτης Σεντώνας - Panayiotis Sentonas	436419753766608	Facebook	f	Facebook	CY	Cyprus	12	1	300870	71973	1187	0
Katerina Christophidou	Katerina Christophidou	131599480586562	Facebook	f	Facebook	CY	Cyprus	15	1	230921	60978	1484	0
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	f	Facebook	CY	Cyprus	8	1	225954	50988	791	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		Georgia Constantinou Panayiotou	270213387069072	Facebook	f	Facebook	CY	Cyprus	6	1	224987	80996	993	99
Νικόλας Παπαδόπουλος	Constantinos Georgallides	998046016880140	Facebook	f	Facebook	CY	Cyprus	6	1	170981	66994	593	0
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	f	Facebook	CY	Cyprus	4	1	155858	60948	395	0
Ψηφίζω Δρ. Μαρδαπήττα Χρύσανθο		326882297995016	Facebook	f	Facebook	CY	Cyprus	2	1	149933	59968	197	0
Dr. Eleni Stavrou	Eleni Stavrou	822417261217421	Facebook	f	Facebook	CY	Cyprus	12	1	149908	40979	1187	0
Ιακώβου Βάκης	Γιωργος Αλεξανδρου	332523037613071	Facebook	f	Facebook	CY	Cyprus	4	1	114934	25987	395	0
