audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	LV	Latvia	2252	599	3513752	1275726	14885	1772
f25_34	female (25-34)	LV	Latvia	2420	608	3387905	1240030	14332	1732
f35_44	female (35-44)	LV	Latvia	2435	593	2814520	981582	13235	1321
f18_24	female (18-24)	LV	Latvia	2103	547	2537371	964568	8974	1193
m35_44	male (35-44)	LV	Latvia	2271	583	2503479	873770	11455	1185
f45_54	female (45-54)	LV	Latvia	2282	567	2343397	808047	11088	984
m18_24	male (18-24)	LV	Latvia	1988	544	2086569	791910	8098	1109
f55_64	female (55-64)	LV	Latvia	1763	524	1934385	638435	8835	676
m45_54	male (45-54)	LV	Latvia	2125	552	1458181	497518	6685	676
f65_	female (65+)	LV	Latvia	1542	466	937450	299748	4253	352
m55_64	male (55-64)	LV	Latvia	1649	513	795838	256399	3584	311
m65_	male (65+)	LV	Latvia	1473	457	336593	106882	1557	137
f13_17	female (13-17)	LV	Latvia	270	98	112805	37239	275	8
m13_17	male (13-17)	LV	Latvia	254	96	71282	23095	239	5
u35_44	unknown (35-44)	LV	Latvia	2021	510	24237	8563	114	13
u25_34	unknown (25-34)	LV	Latvia	1942	505	20241	7329	87	11
u45_54	unknown (45-54)	LV	Latvia	1730	455	7207	2489	36	4
u18_24	unknown (18-24)	LV	Latvia	1488	405	4656	1736	20	3
u55_64	unknown (55-64)	LV	Latvia	1176	408	3493	1161	14	1
u65_	unknown (65+)	LV	Latvia	1072	374	2069	640	10	0
u13_17	unknown (13-17)	LV	Latvia	183	70	220	71	0	0
