country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IE	Ireland	0_50	0 - 50	3797	1057	18675479	4774007	129523	14
IE	Ireland	50_100	50 - 100	4028	1036	547472	176805	4246	397
IE	Ireland	100_1k	100 - 1k	1427	423	18779933	7818859	99833	26882
IE	Ireland	1k_5k	1k - 5k	142	53	16848526	7751054	130350	26459
IE	Ireland	5k_10k	5k - 10k	12	10	13746	6604	412	105
IE	Ireland	10k_50k	10k - 50k	1	1	10052	5026	447	89
