region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
harju_county	Harju County	EE	Estonia	2306	519	6325820	2251992	36488	5016
hiiu_county	Hiiu County	EE	Estonia	689	132	1752	459	10	0
ida_viru_county	Ida-Viru County	EE	Estonia	1311	269	180814	48546	1358	57
jarva_county	Järva County	EE	Estonia	1086	193	53991	19313	665	6
jogeva_county	Jõgeva County	EE	Estonia	993	170	11216	3320	110	4
laane_county	Lääne County	EE	Estonia	1035	192	34836	13979	299	4
laane_viru_county	Lääne-Viru County	EE	Estonia	1244	232	284284	71497	1672	30
parnu_county	Pärnu County	EE	Estonia	1446	281	338666	116432	2155	278
polva_county	Põlva County	EE	Estonia	925	168	19964	4985	180	3
rapla_county	Rapla County	EE	Estonia	1017	197	16555	4737	287	5
saare_county	Saare County	EE	Estonia	1024	190	38000	12264	371	8
tartu_county	Tartu County	EE	Estonia	1874	389	778141	275272	4164	557
valga_county	Valga County	EE	Estonia	978	185	12903	3613	86	4
viljandi_county	Viljandi County	EE	Estonia	1254	236	92111	27099	1089	24
voru_county	Võru County	EE	Estonia	1100	207	65716	17321	393	10
