country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	d133	2019-05-13	3944	193	4557475	1357671	52576	3752
AT	Austria	d132	2019-05-12	4327	206	5776962	1790508	64355	5918
AT	Austria	d131	2019-05-11	4403	214	6375566	1974353	68647	6361
AT	Austria	d130	2019-05-10	4354	213	6233587	1974824	66135	6487
AT	Austria	d129	2019-05-09	4274	212	6329832	2035450	64518	6380
AT	Austria	d128	2019-05-08	4076	198	6133192	1959478	63192	6289
AT	Austria	d127	2019-05-07	3502	187	5855789	1900178	58070	7436
AT	Austria	d126	2019-05-06	3247	179	4566856	1547081	46643	5894
AT	Austria	d125	2019-05-05	3075	189	4679444	1727512	41629	6304
AT	Austria	d124	2019-05-04	3142	190	4954987	1760186	47958	8078
