audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u25_34	unknown (25-34)	European Parliament		178362315106	Facebook	1186	1	310537	137035	1825	451
u25_34	unknown (25-34)	Kialo		729627343834501	Facebook	723	1	285112	112487	2115	525
u25_34	unknown (25-34)	People's Vote UK	People's Vote	748608695327755	Facebook	2631	1	217944	77412	2970	522
u25_34	unknown (25-34)	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	1702	1	179527	63877	1958	206
u25_34	unknown (25-34)	Podemos	Unidas Podemos	269212336568846	Facebook	280	1	105581	47847	619	160
u25_34	unknown (25-34)	Greenpeace France		39435457457	Facebook	118	1	89034	39801	423	98
u25_34	unknown (25-34)	European Greens	European Greens	141366725876424	Facebook	87	1	72226	32044	531	130
u25_34	unknown (25-34)	Best For Britain	Best for Britain	1863944713844924	Facebook	493	1	69875	29438	834	202
u25_34	unknown (25-34)	Ciudadanos	Ciudadanos	74078667754	Facebook	2446	1	69670	21263	714	50
u25_34	unknown (25-34)	Sosialidemokraatit SDP		108945982480217	Facebook	272	1	59887	22929	391	85
u25_34	unknown (25-34)	Plan International Sverige		382243262003	Facebook	293	1	54860	18618	381	96
u25_34	unknown (25-34)	Conservatives	The Conservative Party	8807334278	Facebook	709	1	54779	21128	544	85
u25_34	unknown (25-34)	The Labour Party	The Labour Party	25749647410	Facebook	457	1	52346	20406	396	81
u25_34	unknown (25-34)	Partido Popular	Partido Popular	72249031214	Facebook	742	1	50907	19327	285	44
u25_34	unknown (25-34)	European Commission		107898832590939	Facebook	68	1	41888	19105	235	66
u25_34	unknown (25-34)	sp.a	sp.a	57253967150	Facebook	258	1	41255	17198	175	39
u25_34	unknown (25-34)	38 Degrees	38 Degrees	200006375787	Facebook	594	1	34144	12648	234	35
u25_34	unknown (25-34)	Greenpeace Deutschland		22541752487	Facebook	318	1	33840	12420	216	30
u25_34	unknown (25-34)	SPD	SPD	47930567748	Facebook	1092	1	33730	10909	618	46
u25_34	unknown (25-34)	Médecins du Monde France		265420476920	Facebook	463	1	32136	9920	594	33
u25_34	unknown (25-34)	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	171	1	31390	12712	97	18
u25_34	unknown (25-34)	Greenpeace España	Greenpeace España	133044800622	Facebook	161	1	30417	10974	92	12
u25_34	unknown (25-34)	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	264	1	28515	9739	208	32
u25_34	unknown (25-34)	Fotografiska Stockholm		142320852554	Facebook	10	1	26435	11622	18	4
u25_34	unknown (25-34)	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	370	1	26176	9066	318	46
