audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u65_	unknown (65+)	Britain's Future	Britain's Future	1625300137516491	Facebook	3610	1	334643	97028	4058	577
u65_	unknown (65+)	People's Vote UK	People's Vote	748608695327755	Facebook	2542	1	204590	69668	3905	671
u65_	unknown (65+)	38 Degrees	38 Degrees	200006375787	Facebook	622	1	133444	47946	944	132
u65_	unknown (65+)	Best For Britain	Best for Britain	1863944713844924	Facebook	565	1	122605	51535	1817	424
u65_	unknown (65+)	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	1721	1	103743	32613	1619	146
u65_	unknown (65+)	We are the 52%	We are the 52%	466744973727718	Facebook	276	1	96102	34223	289	37
u65_	unknown (65+)	The Labour Party	The Labour Party	25749647410	Facebook	534	1	71621	27014	672	137
u65_	unknown (65+)	Conservatives	The Conservative Party	8807334278	Facebook	698	1	66435	23951	1208	138
u65_	unknown (65+)	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	493	1	57416	20038	1275	210
u65_	unknown (65+)	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	418	1	51094	18185	815	132
u65_	unknown (65+)	The Brexit Party	The Brexit Party	230416667843105	Facebook	80	1	45120	21410	628	188
u65_	unknown (65+)	European Parliament		178362315106	Facebook	660	1	34401	14170	235	49
u65_	unknown (65+)	Greenpeace France		39435457457	Facebook	107	1	33333	14999	169	39
u65_	unknown (65+)	Right To Vote	Right to Vote	408236463256774	Facebook	346	1	29483	7275	281	35
u65_	unknown (65+)	Sosialidemokraatit SDP		108945982480217	Facebook	217	1	26264	10056	164	31
u65_	unknown (65+)	Podemos	Unidas Podemos	269212336568846	Facebook	176	1	25215	11409	161	42
u65_	unknown (65+)	Vattenfall Sverige		608975645850217	Facebook	25	1	24774	11416	326	89
u65_	unknown (65+)	Ciudadanos	Ciudadanos	74078667754	Facebook	1654	1	23344	7259	221	18
u65_	unknown (65+)	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	120	1	21907	7674	152	30
u65_	unknown (65+)	TheArticle	TheArticle	607840469632004	Facebook	25	1	21396	9524	313	68
u65_	unknown (65+)	Plan International Sverige		382243262003	Facebook	285	1	21057	6798	181	43
u65_	unknown (65+)	Médecins du Monde France		265420476920	Facebook	424	1	21042	6192	416	24
u65_	unknown (65+)	Scientists for EU	Scientists for EU	642444842524195	Facebook	57	1	20901	6543	128	20
u65_	unknown (65+)	Amnesty International UK		7624294394	Facebook	77	1	20371	8682	209	64
u65_	unknown (65+)	Oxfam Great Britain	Oxfam GB	7214031395	Facebook	60	1	18662	6812	311	67
