audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	EE	Estonia	1968	497	2396542	861042	13625	1950
f25_34	female (25-34)	EE	Estonia	2115	507	2349838	891021	12831	1934
f18_24	female (18-24)	EE	Estonia	1922	462	2046151	760345	10423	1379
m18_24	male (18-24)	EE	Estonia	1799	451	1863963	664781	10196	1354
f35_44	female (35-44)	EE	Estonia	2080	497	1777865	646487	10513	1490
m35_44	male (35-44)	EE	Estonia	1936	489	1507914	531837	9069	1207
f45_54	female (45-54)	EE	Estonia	1981	471	1318680	462747	7978	967
f55_64	female (55-64)	EE	Estonia	1470	437	1029788	348699	5918	496
m45_54	male (45-54)	EE	Estonia	1830	460	882015	299386	5367	624
f65_	female (65+)	EE	Estonia	1315	388	708667	233937	4203	320
m55_64	male (55-64)	EE	Estonia	1373	426	473755	156124	2879	212
m65_	male (65+)	EE	Estonia	1254	382	289383	95970	1771	129
f13_17	female (13-17)	EE	Estonia	208	90	184712	71303	393	11
m13_17	male (13-17)	EE	Estonia	191	86	114990	45584	269	8
u35_44	unknown (35-44)	EE	Estonia	1729	438	30862	11422	172	27
u25_34	unknown (25-34)	EE	Estonia	1692	436	19647	7490	101	17
u45_54	unknown (45-54)	EE	Estonia	1556	401	12037	4302	73	10
u18_24	unknown (18-24)	EE	Estonia	1350	356	5718	2097	32	4
u65_	unknown (65+)	EE	Estonia	916	326	3573	1219	18	1
u55_64	unknown (55-64)	EE	Estonia	974	344	3006	1094	15	1
u13_17	unknown (13-17)	EE	Estonia	147	73	530	218	0	0
