audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	European Parliament		178362315106	Facebook	1288	1	31023011	13879843	182666	46335
m25_34	male (25-34)	Kialo		729627343834501	Facebook	736	1	25897653	10353715	168168	41418
m25_34	male (25-34)	Podemos	Unidas Podemos	269212336568846	Facebook	287	1	12953044	5861030	73670	19173
m25_34	male (25-34)	People's Vote UK	People's Vote	748608695327755	Facebook	3355	1	12921349	4548013	150175	27523
m25_34	male (25-34)	Ciudadanos	Ciudadanos	74078667754	Facebook	4476	1	9990355	3011352	103386	6884
m25_34	male (25-34)	European Commission		107898832590939	Facebook	69	1	8022039	3743708	32512	8278
m25_34	male (25-34)	Partido Popular	Partido Popular	72249031214	Facebook	886	1	7209355	2732731	40781	6392
m25_34	male (25-34)	SPD	SPD	47930567748	Facebook	4608	1	6714280	2131811	122025	9615
m25_34	male (25-34)	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2038	1	6476708	2336687	75336	10055
m25_34	male (25-34)	Conservatives	The Conservative Party	8807334278	Facebook	1663	1	6390936	2518174	65098	9722
m25_34	male (25-34)	CDU	CDU	78502295414	Facebook	3170	1	6318748	1507947	54916	1333
m25_34	male (25-34)	sp.a	sp.a	57253967150	Facebook	275	1	5679606	2342829	24613	5575
m25_34	male (25-34)	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	180	1	5556078	2502668	13795	3131
m25_34	male (25-34)	FDP	FDP	21289227249	Facebook	1611	1	4846438	1470026	42234	2070
m25_34	male (25-34)	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	109	1	3990182	1659681	10880	3164
m25_34	male (25-34)	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	75	1	3818146	1709831	8045	2273
m25_34	male (25-34)	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	3727463	1723857	24527	5514
m25_34	male (25-34)	The Labour Party	The Labour Party	25749647410	Facebook	581	1	3704109	1483234	29434	6078
m25_34	male (25-34)	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2190	1	3328450	1254768	28105	3615
m25_34	male (25-34)	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	3273891	1558411	5970	2647
m25_34	male (25-34)	European Greens	European Greens	141366725876424	Facebook	88	1	3272003	1451135	18715	4716
m25_34	male (25-34)	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	3220535	1387826	28184	6606
m25_34	male (25-34)	România în primul rând	Future Innovation	770704223323599	Facebook	69	1	2991887	1313796	3122	752
m25_34	male (25-34)	Patryk Jaki		199877710116314	Facebook	240	1	2827003	1118110	12087	2687
m25_34	male (25-34)	Harald Vilimsky		547597092025909	Facebook	176	1	2797591	1190490	24306	5725
