advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd4	Last 4 days	87	1	11734826	5173675	21315	4485
FDP	FDP	21289227249	Facebook	rd4	Last 4 days	1219	1	10685383	3129601	121924	4543
European Greens	European Greens	141366725876424	Facebook	rd4	Last 4 days	41	1	10348459	4649499	72634	17700
România în primul rând	Future Innovation	770704223323599	Facebook	rd4	Last 4 days	48	1	9295733	4256793	10250	2283
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd4	Last 4 days	203	1	9239029	3845841	37383	7106
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd4	Last 4 days	103	1	8244804	3442455	26987	6394
sp.a	sp.a	57253967150	Facebook	rd4	Last 4 days	199	1	7530434	2486107	34150	5304
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd4	Last 4 days	72	1	7019928	2695000	28728	7600
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd4	Last 4 days	51	1	6896955	2857333	10038	1400
European Parliament		178362315106	Facebook	rd4	Last 4 days	35	1	5948103	2806030	35792	8825
SPÖ	SPÖ	77393060080	Facebook	rd4	Last 4 days	554	1	5596149	1829922	46438	6049
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd4	Last 4 days	335	1	5501639	1681413	36863	5425
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd4	Last 4 days	27	1	5393006	2354084	11093	2749
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd4	Last 4 days	756	1	5392927	1816660	80608	8409
Partito Democratico		77034286895	Facebook	rd4	Last 4 days	79	1	5089532	2218853	17267	3342
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd4	Last 4 days	19	1	5053536	2319693	8795	3584
CDU	CDU	78502295414	Facebook	rd4	Last 4 days	3170	1	4830978	1159375	43378	1037
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rd4	Last 4 days	50	1	4500509	1879572	9667	2375
Fidesz	Fidesz	9844779306	Facebook	rd4	Last 4 days	27	1	4299974	2085000	14857	7428
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd4	Last 4 days	138	1	3960864	1459999	20014	1726
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd4	Last 4 days	13	1	3663488	1605500	4523	835
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rd4	Last 4 days	96	1	3618280	1685719	16479	2964
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rd4	Last 4 days	25	1	3488792	1503687	2831	1046
SPD	SPD	47930567748	Facebook	rd4	Last 4 days	1095	1	3463030	639242	117047	2348
DIE LINKE	DIE LINKE	47694585682	Facebook	rd4	Last 4 days	201	1	3418631	1174929	18464	819
