advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd5	Last 5 days	88	1	13751983	6055632	26404	5531
FDP	FDP	21289227249	Facebook	rd5	Last 5 days	1312	1	13017832	3839001	142309	5729
România în primul rând	Future Innovation	770704223323599	Facebook	rd5	Last 5 days	52	1	11547931	5263421	12779	2897
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd5	Last 5 days	355	1	11321480	4643655	48710	9145
European Greens	European Greens	141366725876424	Facebook	rd5	Last 5 days	41	1	10360958	4651999	72659	17700
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd5	Last 5 days	103	1	10152781	4237239	32891	7833
CDU	CDU	78502295414	Facebook	rd5	Last 5 days	3170	1	9661957	2318750	86757	2075
sp.a	sp.a	57253967150	Facebook	rd5	Last 5 days	202	1	8723932	2884696	39916	6273
European Parliament		178362315106	Facebook	rd5	Last 5 days	35	1	7881662	3731545	48970	12288
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd5	Last 5 days	51	1	7796950	3229000	11283	1600
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd5	Last 5 days	32	1	7126005	3101355	14512	3630
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd5	Last 5 days	72	1	7019928	2695000	28728	7600
SPÖ	SPÖ	77393060080	Facebook	rd5	Last 5 days	559	1	6788241	2203528	57275	7346
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd5	Last 5 days	756	1	6471203	2201325	94707	10251
Partito Democratico		77034286895	Facebook	rd5	Last 5 days	79	1	6386914	2786066	21709	4202
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd5	Last 5 days	20	1	6294004	2891283	11103	4506
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd5	Last 5 days	335	1	6058804	1890191	41740	6343
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rd5	Last 5 days	55	1	5717642	2415655	12211	3093
Fidesz	Fidesz	9844779306	Facebook	rd5	Last 5 days	31	1	5066636	2436666	17539	8718
SPD	SPD	47930567748	Facebook	rd5	Last 5 days	1676	1	4607316	811335	176110	2731
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd5	Last 5 days	138	1	4520862	1713999	22661	2300
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rd5	Last 5 days	96	1	4460351	2079649	20449	3680
Open Vld	Open Vld	53668151866	Facebook	rd5	Last 5 days	216	1	4253579	1601071	34454	5766
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rd5	Last 5 days	25	1	4138866	1787734	3316	1240
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd5	Last 5 days	378	1	4133627	1409142	72322	8819
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	rd5	Last 5 days	242	1	4023701	1636000	31367	8137
DIE LINKE	DIE LINKE	47694585682	Facebook	rd5	Last 5 days	202	1	3873766	1335743	20544	964
Facebook Brussels	Facebook	287739491272583	Facebook	rd5	Last 5 days	16	1	3755347	1611785	37186	9314
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd5	Last 5 days	13	1	3717987	1629000	4867	900
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd5	Last 5 days	96	1	3584365	1180119	7031	1783
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd5	Last 5 days	24	1	3412204	1507270	26908	6460
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rd5	Last 5 days	45	1	3385792	1451166	3720	900
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	rd5	Last 5 days	127	1	3268172	896752	34837	9707
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	rd5	Last 5 days	12	1	3099988	1320000	45376	11853
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rd5	Last 5 days	10	1	3044614	1417311	18630	3727
Greenpeace Deutschland		22541752487	Facebook	rd5	Last 5 days	245	1	2966352	846633	19325	2319
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	rd5	Last 5 days	1231	1	2912566	648324	61131	1812
INBOX	New Digital Media	369693523475596	Facebook	rd5	Last 5 days	26	1	2887475	1269499	3275	200
