audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	IE	Ireland	3926	1020	9182132	3650484	52458	8083
m18_24	male (18-24)	IE	Ireland	3692	999	8237471	3230367	48466	7419
m25_34	male (25-34)	IE	Ireland	4109	1078	6797561	2523277	46150	7078
f25_34	female (25-34)	IE	Ireland	4470	1113	6580200	2480321	44718	6798
f35_44	female (35-44)	IE	Ireland	4411	1095	5350511	2009091	38723	5856
m35_44	male (35-44)	IE	Ireland	4067	1067	5013603	1850998	35034	5342
f45_54	female (45-54)	IE	Ireland	4190	1059	3475401	1261876	25790	3731
m45_54	male (45-54)	IE	Ireland	3862	1028	3206863	1145637	22843	3297
f55_64	female (55-64)	IE	Ireland	3501	979	1941561	678313	14706	2008
m55_64	male (55-64)	IE	Ireland	3251	952	1548552	533005	11315	1517
f65_	female (65+)	IE	Ireland	2994	877	1426537	492930	10635	1532
m65_	male (65+)	IE	Ireland	2799	851	1094358	373648	7887	1099
f13_17	female (13-17)	IE	Ireland	552	194	660225	241126	3190	175
m13_17	male (13-17)	IE	Ireland	513	185	445411	163469	2473	135
u35_44	unknown (35-44)	IE	Ireland	3497	937	158057	58961	1105	168
u45_54	unknown (45-54)	IE	Ireland	3154	869	92071	33057	661	94
u25_34	unknown (25-34)	IE	Ireland	3376	906	76882	28311	554	79
u18_24	unknown (18-24)	IE	Ireland	2666	752	50905	19420	342	47
u55_64	unknown (55-64)	IE	Ireland	2280	772	34404	11924	257	35
u65_	unknown (65+)	IE	Ireland	2079	702	32626	11178	243	32
u13_17	unknown (13-17)	IE	Ireland	364	148	4375	1498	29	1
