advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	f	Facebook	RO	Romania	45	1	11358956	5060000	16925	3508
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f	Facebook	RO	Romania	20	1	8159975	3804998	19136	7857
European Commission	European Commission	107898832590939	Facebook	f	Facebook	RO	Romania	28	1	6747808	3161796	17127	4524
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	f	Facebook	RO	Romania	43	1	6171957	2767000	17513	4118
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	RO	Romania	12	1	6099987	2950000	11763	2416
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	f	Facebook	RO	Romania	15	1	5900977	2719996	7476	1680
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	RO	Romania	15	1	5889079	2736336	17012	3945
PLUS	PLUS	1903580739951981	Facebook	f	Facebook	RO	Romania	4	1	2599998	1250001	3360	735
PNL Oradea	PNL Oradea	304085190083197	Facebook	f	Facebook	RO	Romania	41	1	2511876	936983	5811	1827
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	f	Facebook	RO	Romania	26	1	2449974	1090000	3251	966
RMDSZ	RMDSZ	102601499822802	Facebook	f	Facebook	RO	Romania	65	1	2216933	610999	4818	924
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	f	Facebook	RO	Romania	5	1	2199996	900000	944	441
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	f	Facebook	RO	Romania	9	1	2199990	989999	1994	462
USR Iași	Uniunea Salvați România - USR	1792449434342411	Facebook	f	Facebook	RO	Romania	21	1	2066979	935000	9723	2857
Norica Nicolai	Increase Digital	121265151226126	Facebook	f	Facebook	RO	Romania	30	1	1963969	620999	3439	609
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	f	Facebook	RO	Romania	16	1	1956983	850999	2517	672
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	f	Facebook	RO	Romania	22	1	1669339	639795	2473	735
Csíkország	Csíkország	2229168487164126	Facebook	f	Facebook	RO	Romania	53	1	1609946	372999	3203	525
USR Dolj	Uniunea Salvați România	109556372802910	Facebook	f	Facebook	RO	Romania	25	1	1371971	456998	5730	1449
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	f	Facebook	RO	Romania	17	1	1359801	544911	4513	1407
USR Brașov	Uniunea Salvați România	1723480164579572	Facebook	f	Facebook	RO	Romania	10	1	1300990	540000	4221	1092
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	f	Facebook	RO	Romania	26	1	1279974	349000	2536	672
Claudiu Manda	Partidul Social Democrat	199635566715473	Facebook	f	Facebook	RO	Romania	4	1	1249512	509806	2330	525
Calin Popescu Tariceanu	EvolveDreamSoft	227922987222524	Facebook	f	Facebook	RO	Romania	2	1	1199997	599999	2310	1155
Declic	Declic	686190454826244	Facebook	f	Facebook	RO	Romania	3	1	1199995	499999	1365	336
