advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	50k_100k	50k - 100k	UK	United Kingdom	185	1	18498484	9249334	128452	39222
People's Vote UK	People's Vote	748608695327755	Facebook	50k_100k	50k - 100k	UK	United Kingdom	145	1	14498764	7249454	140539	40615
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50k_100k	50k - 100k	UK	United Kingdom	92	1	9199796	4599944	68166	26499
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	50k_100k	50k - 100k	UK	United Kingdom	90	1	8999866	4499978	57755	15043
The Labour Party	The Labour Party	25749647410	Facebook	50k_100k	50k - 100k	UK	United Kingdom	83	1	8299319	4149701	62967	18514
We are the 52%	We are the 52%	466744973727718	Facebook	50k_100k	50k - 100k	UK	United Kingdom	51	1	5099949	2550000	21117	3818
38 Degrees	38 Degrees	200006375787	Facebook	50k_100k	50k - 100k	UK	United Kingdom	42	1	4199942	2099992	24252	4860
Best For Britain	Best for Britain	1863944713844924	Facebook	50k_100k	50k - 100k	UK	United Kingdom	39	1	3899948	1949993	57814	17126
Conservatives	The Conservative Party	8807334278	Facebook	50k_100k	50k - 100k	UK	United Kingdom	35	1	3499930	1749982	22177	7405
The Brexit Party	The Brexit Party	230416667843105	Facebook	50k_100k	50k - 100k	UK	United Kingdom	22	1	2199094	1099558	41035	12723
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	50k_100k	50k - 100k	UK	United Kingdom	17	1	1699983	850000	15949	4513
Kialo		729627343834501	Facebook	50k_100k	50k - 100k	UK	United Kingdom	57	1	1661355	830685	25597	6440
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	50k_100k	50k - 100k	UK	United Kingdom	16	1	1599329	799672	9813	2313
London Labour Party	The London Labour Party 	474613052643462	Facebook	50k_100k	50k - 100k	UK	United Kingdom	14	1	1399985	699999	7968	2545
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	50k_100k	50k - 100k	UK	United Kingdom	13	1	1299985	649999	8085	1967
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	50k_100k	50k - 100k	UK	United Kingdom	12	1	1199988	600000	7507	1851
Leave.EU		794492093982367	Facebook	50k_100k	50k - 100k	UK	United Kingdom	11	1	1099921	549966	9781	4895
Instant PPI UK		616112792139038	Facebook	50k_100k	50k - 100k	UK	United Kingdom	10	1	999989	499999	10672	3471
Amnesty International UK		7624294394	Facebook	50k_100k	50k - 100k	UK	United Kingdom	10	1	999929	499969	7509	2545
Andy Street	The Conservative Party	625464517632792	Facebook	50k_100k	50k - 100k	UK	United Kingdom	9	1	899991	450000	5196	1041
Alex Salmond	Slainte Media	136191876445102	Facebook	50k_100k	50k - 100k	UK	United Kingdom	8	1	799991	399999	3230	578
Oxfam Great Britain	Oxfam GB	7214031395	Facebook	50k_100k	50k - 100k	UK	United Kingdom	7	1	699993	350000	11563	3703
Right To Vote	Right to Vote	408236463256774	Facebook	50k_100k	50k - 100k	UK	United Kingdom	7	1	699993	350000	6935	3124
NT Live	NT Live	107334993856	Facebook	50k_100k	50k - 100k	UK	United Kingdom	7	1	699993	350000	4042	810
Property & Business Info		562032903912680	Facebook	50k_100k	50k - 100k	UK	United Kingdom	7	1	699928	349967	7512	3586
