audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	UK	United Kingdom	1068	103	2214055	847956	17993	2591
f25_34	female (25-34)	UK	United Kingdom	1072	107	2165856	846604	16968	2811
m25_34	male (25-34)	UK	United Kingdom	1153	108	1854927	731476	19610	2715
f35_44	female (35-44)	UK	United Kingdom	1186	107	1572985	615772	15711	2143
m18_24	male (18-24)	UK	United Kingdom	1137	105	1520482	587365	16275	2063
m35_44	male (35-44)	UK	United Kingdom	1213	108	1449205	567242	18319	2129
m45_54	male (45-54)	UK	United Kingdom	1229	102	1257777	457679	20963	1899
f45_54	female (45-54)	UK	United Kingdom	1214	102	1172139	421227	16415	1606
m55_64	male (55-64)	UK	United Kingdom	1203	95	926513	310414	20966	1482
f55_64	female (55-64)	UK	United Kingdom	1188	93	865021	283441	18057	1300
f65_	female (65+)	UK	United Kingdom	1150	88	580706	146006	19647	744
m65_	male (65+)	UK	United Kingdom	1159	89	439161	113042	15666	603
u35_44	unknown (35-44)	UK	United Kingdom	715	85	47455	18619	623	69
u45_54	unknown (45-54)	UK	United Kingdom	816	73	40987	14637	756	61
u55_64	unknown (55-64)	UK	United Kingdom	816	71	29438	9117	822	43
u25_34	unknown (25-34)	UK	United Kingdom	470	71	27106	10635	281	39
u65_	unknown (65+)	UK	United Kingdom	793	66	20312	4633	886	22
u18_24	unknown (18-24)	UK	United Kingdom	420	68	16437	5846	228	22
m13_17	male (13-17)	UK	United Kingdom	13	12	1715	181	119	0
f13_17	female (13-17)	UK	United Kingdom	13	12	1322	74	124	0
u13_17	unknown (13-17)	UK	United Kingdom	10	10	60	23	1	0
