country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LU	Luxembourg	f	female	3131	713	8877637	2939366	48083	4027
LU	Luxembourg	m	male	2914	697	8337942	2730659	47856	3728
LU	Luxembourg	u	unknown	2742	652	133417	42637	831	53
