country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	f	female	3028	752	22304486	8342484	71497	8368
HR	Croatia	m	male	2852	740	24749981	8902072	83570	8632
HR	Croatia	u	unknown	2687	693	360819	133804	1237	140
