day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d127	2019-05-07	PL	Poland	875	140	2068805	660277	5243	749
d126	2019-05-06	PL	Poland	1045	159	3243152	1086913	9811	1141
d125	2019-05-05	PL	Poland	950	166	2896361	1034577	6900	1191
d124	2019-05-04	PL	Poland	964	179	4452452	1741492	9699	2078
d123	2019-05-03	PL	Poland	1000	183	4559109	1745129	9889	2055
d122	2019-05-02	PL	Poland	992	178	4211092	1651529	9099	1878
d121	2019-05-01	PL	Poland	957	177	3764047	1513875	8392	1708
d120	2019-04-30	PL	Poland	1019	193	3624837	1502362	8069	1673
d119	2019-04-29	PL	Poland	984	197	1872740	700256	6081	1045
d118	2019-04-28	PL	Poland	952	189	1787203	659337	5912	1043
d117	2019-04-27	PL	Poland	951	193	1759705	689529	6513	1166
d116	2019-04-26	PL	Poland	952	192	1368757	473969	5171	960
d115	2019-04-25	PL	Poland	926	193	1086233	346187	3624	567
d114	2019-04-24	PL	Poland	906	196	1135561	373331	3453	599
d113	2019-04-23	PL	Poland	919	198	1197815	399161	4039	753
d112	2019-04-22	PL	Poland	690	198	547850	162801	1576	197
d111	2019-04-21	PL	Poland	737	197	740714	236726	2425	351
d110	2019-04-20	PL	Poland	755	214	872092	284388	3003	503
d109	2019-04-19	PL	Poland	811	239	944175	321109	3180	582
d108	2019-04-18	PL	Poland	600	251	936435	320694	3119	602
d107	2019-04-17	PL	Poland	610	257	2124044	862026	5102	955
d106	2019-04-16	PL	Poland	649	279	1007186	358450	3835	622
d105	2019-04-15	PL	Poland	732	303	1488407	553753	4854	779
d104	2019-04-14	PL	Poland	722	305	2626580	1132465	5341	951
d103	2019-04-13	PL	Poland	729	310	1763767	613382	4430	735
d102	2019-04-12	PL	Poland	780	320	1749012	605008	4825	772
d101	2019-04-11	PL	Poland	755	326	1674665	579968	4167	656
d100	2019-04-10	PL	Poland	713	306	1693924	584533	4809	845
d099	2019-04-09	PL	Poland	710	315	2005805	721057	5639	1244
d098	2019-04-08	PL	Poland	683	307	1658641	618385	3925	820
d097	2019-04-07	PL	Poland	638	282	1357275	545389	2985	561
d096	2019-04-06	PL	Poland	627	278	1187416	483447	2726	526
d095	2019-04-05	PL	Poland	683	287	1641652	581061	4335	727
d094	2019-04-04	PL	Poland	603	257	1136774	404696	3329	537
d093	2019-04-03	PL	Poland	515	242	737364	263955	2054	346
d092	2019-04-02	PL	Poland	488	220	1801437	662269	5538	975
d091	2019-04-01	PL	Poland	429	209	576872	198069	1776	222
d090	2019-03-31	PL	Poland	491	226	1126835	392100	2942	430
d089	2019-03-30	PL	Poland	460	210	640017	219459	2219	320
d088	2019-03-29	PL	Poland	472	209	865295	278476	3236	555
d087	2019-03-28	PL	Poland	456	205	641757	230064	2485	529
d086	2019-03-27	PL	Poland	458	210	2854564	1128259	4341	1041
d085	2019-03-26	PL	Poland	426	187	2369410	1015308	7363	1640
d084	2019-03-25	PL	Poland	403	193	987200	378332	2189	410
d083	2019-03-24	PL	Poland	404	196	984915	375290	2308	393
d082	2019-03-23	PL	Poland	445	213	1126753	416654	2903	457
d081	2019-03-22	PL	Poland	465	220	1147051	416966	2806	449
d080	2019-03-21	PL	Poland	443	210	1504941	554447	3313	520
d079	2019-03-20	PL	Poland	444	201	1786219	707177	3951	762
d078	2019-03-19	PL	Poland	411	191	591988	180982	2088	192
d077	2019-03-18	PL	Poland	408	192	607541	193589	1807	201
d076	2019-03-17	PL	Poland	356	172	1150963	407104	1711	234
d075	2019-03-16	PL	Poland	357	172	728106	227285	1735	225
d074	2019-03-15	PL	Poland	371	178	780254	235498	2139	274
d073	2019-03-14	PL	Poland	313	158	815717	258707	2317	445
d072	2019-03-13	PL	Poland	295	151	526758	160699	1602	190
d071	2019-03-12	PL	Poland	291	157	730550	260084	2066	341
d070	2019-03-11	PL	Poland	285	159	628715	209830	1848	272
d069	2019-03-10	PL	Poland	266	148	694551	236933	2276	573
d068	2019-03-09	PL	Poland	273	150	896811	337841	2002	313
d067	2019-03-08	PL	Poland	283	147	1145277	471142	2246	333
d066	2019-03-07	PL	Poland	229	127	1158606	480567	1816	247
d065	2019-03-06	PL	Poland	234	122	595882	241049	1213	127
d064	2019-03-05	PL	Poland	242	112	531864	221183	1083	111
d063	2019-03-04	PL	Poland	186	107	364697	113750	1329	98
d062	2019-03-03	PL	Poland	145	84	174283	55148	582	73
d061	2019-03-02	PL	Poland	141	81	158827	51169	558	57
d060	2019-03-01	PL	Poland	137	81	144199	49837	545	56
d059	2019-02-28	PL	Poland	125	68	98490	31428	541	40
d058	2019-02-27	PL	Poland	119	57	70671	24080	273	39
d057	2019-02-26	PL	Poland	105	53	65664	23667	294	78
d056	2019-02-25	PL	Poland	99	51	57177	20589	149	20
d055	2019-02-24	PL	Poland	94	48	59400	21041	135	16
d054	2019-02-23	PL	Poland	95	48	59616	21094	136	16
d053	2019-02-22	PL	Poland	99	52	152231	63068	470	84
d052	2019-02-21	PL	Poland	102	46	164100	56575	395	83
d051	2019-02-20	PL	Poland	102	46	147691	49793	360	69
d050	2019-02-19	PL	Poland	103	48	123467	36109	281	55
d049	2019-02-18	PL	Poland	103	48	209330	67556	477	104
d048	2019-02-17	PL	Poland	98	42	130513	44604	242	57
d047	2019-02-16	PL	Poland	95	41	127958	43326	239	56
d046	2019-02-15	PL	Poland	100	40	231190	73630	593	118
d045	2019-02-14	PL	Poland	86	38	226897	75669	579	116
d044	2019-02-13	PL	Poland	61	33	75848	31698	163	40
d043	2019-02-12	PL	Poland	67	38	74781	26215	196	28
d042	2019-02-11	PL	Poland	65	37	319129	149614	723	303
d041	2019-02-10	PL	Poland	62	35	318445	149853	709	301
d040	2019-02-09	PL	Poland	66	38	427233	200831	1229	403
d039	2019-02-08	PL	Poland	65	37	346528	153972	785	314
d038	2019-02-07	PL	Poland	66	37	154608	57742	878	170
d037	2019-02-06	PL	Poland	67	37	73764	26098	201	29
d036	2019-02-05	PL	Poland	56	32	64431	21075	154	23
d035	2019-02-04	PL	Poland	57	31	169552	45035	434	23
d034	2019-02-03	PL	Poland	49	26	48098	17591	108	18
d033	2019-02-02	PL	Poland	50	27	48261	17656	110	18
d032	2019-02-01	PL	Poland	60	30	58886	19784	137	23
d031	2019-01-31	PL	Poland	65	30	34587	8428	109	9
d030	2019-01-30	PL	Poland	59	31	32963	8269	70	8
d029	2019-01-29	PL	Poland	60	30	45065	12789	132	16
d028	2019-01-28	PL	Poland	67	27	35659	8391	81	9
d027	2019-01-27	PL	Poland	55	28	44821	13872	102	7
d026	2019-01-26	PL	Poland	54	27	41486	13305	79	7
d025	2019-01-25	PL	Poland	55	26	40546	13118	87	7
d024	2019-01-24	PL	Poland	53	27	33906	11045	74	4
d023	2019-01-23	PL	Poland	53	27	30869	10508	58	4
d022	2019-01-22	PL	Poland	56	27	31904	11153	58	5
d021	2019-01-21	PL	Poland	54	27	31844	11616	55	5
d020	2019-01-20	PL	Poland	48	23	26464	9602	33	4
d019	2019-01-19	PL	Poland	47	22	11893	2942	28	1
d018	2019-01-18	PL	Poland	49	23	280951	131736	1021	199
d017	2019-01-17	PL	Poland	59	23	23067	6307	45	1
d016	2019-01-16	PL	Poland	47	19	14245	4807	29	2
d015	2019-01-15	PL	Poland	49	21	86174	33589	738	186
d014	2019-01-14	PL	Poland	47	19	16709	5352	38	2
d013	2019-01-13	PL	Poland	45	21	22719	8941	74	12
d012	2019-01-12	PL	Poland	49	24	34007	10577	105	15
d011	2019-01-11	PL	Poland	49	25	33605	10570	93	15
d010	2019-01-10	PL	Poland	49	25	32172	10429	74	16
d009	2019-01-09	PL	Poland	44	24	29019	8928	61	14
d008	2019-01-08	PL	Poland	44	23	29467	9214	69	15
d007	2019-01-07	PL	Poland	40	20	28900	9282	63	15
d006	2019-01-06	PL	Poland	38	17	19638	7247	39	11
d005	2019-01-05	PL	Poland	37	17	19529	7190	43	12
d004	2019-01-04	PL	Poland	40	18	21243	8296	45	12
d003	2019-01-03	PL	Poland	42	19	21251	8305	45	12
d002	2019-01-02	PL	Poland	39	17	22688	9540	48	13
d001	2019-01-01	PL	Poland	41	18	68698	16246	163	26
