region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
central_bohemian_region	Central Bohemian Region	CZ	Czechia	5086	566	960001	281963	3086	716
hradec_kralove_region	Hradec Králové Region	CZ	Czechia	4507	514	652330	176375	1340	333
karlovy_vary_region	Karlovy Vary Region	CZ	Czechia	4399	467	241244	59921	980	220
liberec_region	Liberec Region	CZ	Czechia	4368	489	235789	69115	930	225
moravian_silesian_region	Moravian-Silesian Region	CZ	Czechia	5153	600	1671269	524698	5240	1273
olomouc_region	Olomouc Region	CZ	Czechia	4619	548	630480	183337	2418	559
pardubice_region	Pardubice Region	CZ	Czechia	4359	488	280389	88240	1169	266
plzen_region	Plzeň Region	CZ	Czechia	4848	538	663580	179236	2707	552
prague	Prague	CZ	Czechia	6013	758	8889611	2724838	34529	8070
south_bohemian_region	South Bohemian Region	CZ	Czechia	4518	516	482617	136275	2167	456
south_moravian_region	South Moravian Region	CZ	Czechia	5628	668	3580012	1091759	13443	3246
vysocina_region	Vysočina Region	CZ	Czechia	4308	478	346503	95776	1131	262
zlin_region	Zlín Region	CZ	Czechia	4806	525	694200	189860	2202	554
usti_nad_labem_region	Ústí nad Labem Region	CZ	Czechia	4599	565	630944	206813	2842	636
