advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d082	2019-03-23	DK	Denmark	3	1	869	402	5	1
Signe Bekker Dhiman		122062067872776	Facebook	d082	2019-03-23	DK	Denmark	1	1	833	166	11	2
Mellemfolkeligt Samvirke		5624899398	Facebook	d082	2019-03-23	DK	Denmark	22	1	813	31	9	0
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	d082	2019-03-23	DK	Denmark	1	1	806	161	10	2
Herreværelset		624391997753870	Facebook	d082	2019-03-23	DK	Denmark	1	1	714	142	9	1
Rudi Valentin Bruus Sørensen		337759167085328	Facebook	d082	2019-03-23	DK	Denmark	1	1	713	142	1	0
Med Israel for fred - MIFF Danmark		405892706501089	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	125	12	6
SFOF		161381229210	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	312	8	4
Mette Gjerskov - Socialdemokratiet		130494840642224	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	125	8	1
Sissel van Run-Kvist	Kvist Sissel	176580099127279	Facebook	d082	2019-03-23	DK	Denmark	2	1	499	0	6	0
Malernes Fagforening Storkøbenhavn		286619311389587	Facebook	d082	2019-03-23	DK	Denmark	1	1	499	100	6	1
Niels Fuglsang		264009771074617	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	1	0
Poul Højlund NB		1910453852597472	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Jakob Thiemann i Europaparlamentet		1987954044580914	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Ole Lynggaard Jørgensen Radikal folketingskandidat		297280080474770	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	1	0
Alternativets Ulla Munksgaard		176564056237560	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Konservative Sjaelland		386912995038962	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Fort Europa		271853373466851	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Maria Mejse Mortensen		347897006062987	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	1	0
SF Lyngby-Taarbæk		160503844127741	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
Radikale Venstre Sorø		2072907039602926	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	1	0
Byens Højskole		2001854966720437	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	227	3	0
Europa-Debat.dk		100157986830613	Facebook	d082	2019-03-23	DK	Denmark	2	1	446	89	5	1
To visioner for Danmark		2800813816859079	Facebook	d082	2019-03-23	DK	Denmark	3	1	336	64	5	1
FIU-Ligestilling		691008384273726	Facebook	d082	2019-03-23	DK	Denmark	1	1	333	66	4	0
Better Globe Tree's V. Allan Sørensen		383743875344569	Facebook	d082	2019-03-23	DK	Denmark	1	1	333	66	5	0
Sosialidemokraatit SDP		108945982480217	Facebook	d082	2019-03-23	DK	Denmark	3	1	322	152	1	0
Mungo Park		52310555568	Facebook	d082	2019-03-23	DK	Denmark	1	1	238	47	0	0
Line Mørk		220210991487359	Facebook	d082	2019-03-23	DK	Denmark	2	1	203	0	2	0
Stine Helles, spidskandidat, Alternativet Fyn		1202144586507625	Facebook	d082	2019-03-23	DK	Denmark	1	1	199	0	2	0
Frie Socialdemokrater		309154249714242	Facebook	d082	2019-03-23	DK	Denmark	1	1	199	0	2	0
DANA - A-kasse for selvstændige		250138468435235	Facebook	d082	2019-03-23	DK	Denmark	1	1	192	38	5	2
Nikolaj Vester		1904828859626638	Facebook	d082	2019-03-23	DK	Denmark	1	1	175	87	2	1
γυρίζουμε		278308089460720	Facebook	d082	2019-03-23	DK	Denmark	3	1	166	66	1	0
Vitamin Well Danmark		125305724171277	Facebook	d082	2019-03-23	DK	Denmark	1	1	98	19	1	0
David Trads	Socialdemokratiet i Egedal kredsen	1943329949053515	Facebook	d082	2019-03-23	DK	Denmark	1	1	90	0	1	0
Nye Borgerlige i Næstved		501853530015749	Facebook	d082	2019-03-23	DK	Denmark	1	1	90	0	1	0
Intact Denmark - Forening mod omskæring af børn		415341115213431	Facebook	d082	2019-03-23	DK	Denmark	1	1	90	0	1	0
Kvindernes U-landsudvalg (KULU)		136443353068353	Facebook	d082	2019-03-23	DK	Denmark	1	1	90	0	1	0
Genusvetenskapliga institutionen, Lunds universitet		690139577808604	Facebook	d082	2019-03-23	DK	Denmark	1	1	68	13	0	0
By Rose Maria		1512223189099633	Facebook	d082	2019-03-23	DK	Denmark	1	1	67	13	0	0
Nybolig Jan Milvertz A/S - Næstved		1394390130774800	Facebook	d082	2019-03-23	DK	Denmark	3	1	56	0	0	0
Erasmus Student Network		25226723130	Facebook	d082	2019-03-23	DK	Denmark	1	1	44	22	0	0
24Bottles		126060760828576	Facebook	d082	2019-03-23	DK	Denmark	2	1	36	0	3	0
Innolab Capital		2074968362788868	Facebook	d082	2019-03-23	DK	Denmark	1	1	34	0	3	0
Pirate Parties International		152709151422154	Facebook	d082	2019-03-23	DK	Denmark	1	1	32	16	0	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	d082	2019-03-23	DK	Denmark	2	1	30	15	0	0
مفوضية اللاجئين		188842724507690	Facebook	d082	2019-03-23	DK	Denmark	11	1	20	4	0	0
Wake Up Europe	The Wake Up Foundation	837779036265612	Facebook	d082	2019-03-23	DK	Denmark	4	1	20	5	0	0
Stonewall		18933990398	Facebook	d082	2019-03-23	DK	Denmark	1	1	19	3	0	0
Amazinc Skincare		222074311472291	Facebook	d082	2019-03-23	DK	Denmark	1	1	18	3	0	0
ALDE Partiet-  Individuelt Medlemskab i Danmark		915465915145907	Facebook	d082	2019-03-23	DK	Denmark	1	1	16	0	0	0
Hardox		750155358330748	Facebook	d082	2019-03-23	DK	Denmark	2	1	12	2	0	0
Open Doors Deutschland		182704598535	Facebook	d082	2019-03-23	DK	Denmark	1	1	12	2	0	0
Bacàn		1672921389592737	Facebook	d082	2019-03-23	DK	Denmark	1	1	12	0	1	0
Arte		656089814494677	Facebook	d082	2019-03-23	DK	Denmark	3	1	11	1	0	0
Le Monde		14892757589	Facebook	d082	2019-03-23	DK	Denmark	5	1	11	4	0	0
Animal Matters	Animal Matters	1439364926329185	Facebook	d082	2019-03-23	DK	Denmark	1	1	8	1	0	0
The New Arab	The New Arab	1426949024217365	Facebook	d082	2019-03-23	DK	Denmark	1	1	7	3	0	0
YOGA BURN		146316959083110	Facebook	d082	2019-03-23	DK	Denmark	3	1	7	1	0	0
