impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	86137	10695	141902560	0	7590635	12915
1k_5k	1k - 5k	67929	13686	307984768	58213000	5610890	79088
5k_10k	5k - 10k	32576	7138	235889158	114300000	2637059	164455
10k_50k	10k - 50k	42562	6859	1634312493	319453182	8717812	1344930
50k_100k	50k - 100k	7677	1870	663127906	313553408	4009190	928924
100k_200k	100k - 200k	5338	1138	721630704	342803408	4281459	1006938
200k_500k	200k - 500k	2521	683	1213652401	430665446	6502658	1230136
500k_1m	500k - 1m	1114	280	793172113	341317276	4067533	808541
1m_10m	1m - 10m	534	51	446728835	44672883	1971797	56100
10m_1000m	10m - 1000m	76	15	541443932	54144393	1106810	64932
