advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	SI	Slovenia	24	1	2926887	1347433	12563	2917
Socialni demokrati (SD)	Socialni demokrati (SD)	12676777580	Facebook	SI	Slovenia	153	1	2797821	689987	15146	0
Stranka LMŠ	Stranka LMŠ	1688472281270558	Facebook	SI	Slovenia	11	1	1484988	595999	3488	599
European Greens	European Greens	141366725876424	Facebook	SI	Slovenia	6	1	1452163	610867	16516	3604
Franc Bogovič	Slovenska ljudska stranka (SLS)	288826994603012	Facebook	SI	Slovenia	33	1	1114099	252809	3264	0
Tanja Fajon	Socialni demokrati (SD)	73452413740	Facebook	SI	Slovenia	21	1	482978	113999	2078	0
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	SI	Slovenia	23	1	466977	104000	3076	200
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	SI	Slovenia	11	1	436398	192788	1274	183
Povežimo se	Povežimo se	1212524292238625	Facebook	SI	Slovenia	13	1	327986	67999	1286	0
SDS - Slovenska demokratska stranka	SDS - Slovenska demokratska stranka	30790585231	Facebook	SI	Slovenia	11	1	290988	66999	1089	0
Milan Zver	SDS - Slovenska demokratska stranka	279397488827904	Facebook	SI	Slovenia	6	1	214994	46000	993	99
Časopis Slovenec	Slovenska ljudska stranka (SLS)	240130223029252	Facebook	SI	Slovenia	6	1	210976	44991	593	0
Janez Janša	SDS - Slovenska demokratska stranka	32585228571	Facebook	SI	Slovenia	4	1	205995	100999	1195	199
European Commission	European Commission	107898832590939	Facebook	SI	Slovenia	22	1	180473	86084	320	85
Patricija Šulin	SDS - Slovenska demokratska stranka	1541413339429015	Facebook	SI	Slovenia	10	1	177990	65000	1390	100
SAB - Stranka Alenke Bratušek	SAB - Stranka Alenke Bratušek	242210245976248	Facebook	SI	Slovenia	3	1	149997	30000	297	0
Igor Šoltes	DeSUS - Demokratična stranka upokojencev Slovenije	1391043027849612	Facebook	SI	Slovenia	4	1	119996	30000	396	0
Levica	Levica	285304408294792	Facebook	SI	Slovenia	11	1	95988	18999	1088	0
Urša Zgojznik	Lista Povežimo se	2264632877141356	Facebook	SI	Slovenia	6	1	80994	22000	593	0
Matjaž Nemec	Socialni demokrati (SD)	642148249206716	Facebook	SI	Slovenia	6	1	80953	21985	593	0
Neva Grašič	Socialni demokrati (SD)	2235496013147745	Facebook	SI	Slovenia	6	1	71994	17000	594	0
DOM - Domovinska liga		571044543390810	Facebook	SI	Slovenia	2	1	59994	14999	197	0
Romana Tomc	SDS - Slovenska demokratska stranka	1025408990823719	Facebook	SI	Slovenia	3	1	51996	9999	297	0
Zeleni Slovenije	Škof Nejc	259753617393616	Facebook	SI	Slovenia	2	1	50998	10000	598	99
Stranka SMC		1510216172561389	Facebook	SI	Slovenia	1	1	49998	9999	98	0
Milan Brglez	Socialni demokrati (SD)	1874547136091318	Facebook	SI	Slovenia	6	1	35993	12999	593	0
Mojca Erjavec - Ravne	Mojca Erjavec	154346651925224	Facebook	SI	Slovenia	6	1	34972	9994	593	0
Aleksander Jevšek	Socialni demokrati (SD)	1459898434295068	Facebook	SI	Slovenia	3	1	24790	10929	293	0
European Free Alliance	European Free Alliance	46708306425	Facebook	SI	Slovenia	2	1	22977	11240	118	23
Greenpeace Slovenija	Greenpeace Slovenija	195508530477478	Facebook	SI	Slovenia	4	1	20996	7000	396	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	SI	Slovenia	10	1	20932	9552	44	8
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	SI	Slovenia	6	1	17441	6702	31	5
Franc Hočevar	Socialni demokrati (SD)	314250359445858	Facebook	SI	Slovenia	2	1	14998	6000	198	0
Ljubica Jelušič	Socialni demokrati (SD)	400257777082904	Facebook	SI	Slovenia	2	1	14995	5999	197	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	SI	Slovenia	3	1	10002	4598	19	5
