country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PT	Portugal	w019	Week 19	2019-05-06	2019-05-12	225	85	4646666	2071226	10239	1900
PT	Portugal	w018	Week 18	2019-04-29	2019-05-05	388	122	5020674	2296048	14825	3649
PT	Portugal	w017	Week 17	2019-04-22	2019-04-28	784	166	3425767	1449556	14094	2585
PT	Portugal	w016	Week 16	2019-04-15	2019-04-21	943	201	3998581	1645602	10127	1385
PT	Portugal	w015	Week 15	2019-04-08	2019-04-14	1040	349	8089265	3155506	26716	4177
PT	Portugal	w014	Week 14	2019-04-01	2019-04-07	770	329	5216350	1985150	17202	2289
PT	Portugal	w013	Week 13	2019-03-25	2019-03-31	597	271	3543435	1315666	13286	1776
PT	Portugal	w012	Week 12	2019-03-18	2019-03-24	510	225	2767457	1033506	9029	615
PT	Portugal	w011	Week 11	2019-03-11	2019-03-17	358	174	3205284	1270931	11011	1659
PT	Portugal	w010	Week 10	2019-03-04	2019-03-10	362	173	4913951	1915019	14803	2073
PT	Portugal	w009	Week 9	2019-02-25	2019-03-03	156	83	636549	236875	1943	215
PT	Portugal	w008	Week 8	2019-02-18	2019-02-24	111	62	560639	237506	2054	289
PT	Portugal	w007	Week 7	2019-02-11	2019-02-17	85	52	179479	56137	997	32
PT	Portugal	w006	Week 6	2019-02-04	2019-02-10	71	39	384692	140055	1493	182
PT	Portugal	w005	Week 5	2019-01-28	2019-02-03	87	32	77687	33576	351	27
PT	Portugal	w004	Week 4	2019-01-21	2019-01-27	74	28	96396	37370	586	67
PT	Portugal	w003	Week 3	2019-01-14	2019-01-20	92	34	398719	146981	1755	256
PT	Portugal	w002	Week 2	2019-01-07	2019-01-13	56	26	297953	96786	1002	105
PT	Portugal	w001	Week 1	2019-01-01	2019-01-06	55	25	813848	308260	1594	210
