country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
EE	Estonia	w019	Week 19	431	76	6420908	2096778	41762	4434
EE	Estonia	w018	Week 18	332	83	3987060	1520922	26010	4604
EE	Estonia	w017	Week 17	293	80	474105	145998	1956	132
EE	Estonia	w016	Week 16	302	95	920771	339038	3481	366
EE	Estonia	w015	Week 15	400	151	569676	173338	3498	208
EE	Estonia	w014	Week 14	324	148	420208	137838	2366	134
EE	Estonia	w013	Week 13	254	125	381233	136682	1667	242
EE	Estonia	w012	Week 12	246	115	509265	185708	2674	411
EE	Estonia	w011	Week 11	152	68	220081	81312	1188	186
EE	Estonia	w010	Week 10	172	59	241253	82636	868	41
