advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	5k_10k	5k - 10k	18	1	12823486	6336819	134054	63454
People's Vote UK	People's Vote	748608695327755	Facebook	5k_10k	5k - 10k	61	1	8752321	3879702	120932	25653
Best For Britain	Best for Britain	1863944713844924	Facebook	5k_10k	5k - 10k	49	1	8095217	3748046	99205	24231
Conservatives	The Conservative Party	8807334278	Facebook	5k_10k	5k - 10k	29	1	6562897	3060423	57045	11411
Podemos	Unidas Podemos	269212336568846	Facebook	5k_10k	5k - 10k	6	1	5999994	3000000	59994	30000
The Labour Party	The Labour Party	25749647410	Facebook	5k_10k	5k - 10k	21	1	3366458	1445199	41309	8263
The Brexit Party	The Brexit Party	230416667843105	Facebook	5k_10k	5k - 10k	29	1	3139236	1496512	58924	14711
Vlaams Belang	Vlaams Belang	56605856504	Facebook	5k_10k	5k - 10k	3	1	2999997	1500000	29997	15000
Facebook	Facebook	726281677519881	Facebook	5k_10k	5k - 10k	3	1	2999997	1500000	29997	15000
UK government	UK government	408582579294175	Facebook	5k_10k	5k - 10k	16	1	2845370	1242134	33352	9595
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	5k_10k	5k - 10k	15	1	2427463	1111719	30445	7552
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	5k_10k	5k - 10k	21	1	1975549	892236	41778	9088
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	5k_10k	5k - 10k	7	1	1530209	680094	13769	2754
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	5k_10k	5k - 10k	5	1	1190162	544075	9835	1967
Mayor of London	the Greater London Authority	360322167647280	Facebook	5k_10k	5k - 10k	6	1	1088148	476065	11802	2360
London Gov	the Greater London Authority	713179875369048	Facebook	5k_10k	5k - 10k	5	1	1020139	442061	9835	1967
European Greens		141366725876424	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Partito Democratico	Partito Democratico	77034286895	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Facebook Brussels	Facebook	287739491272583	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Les Energies du Soleil		1684031805239401	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Partido Popular	Partido Popular	72249031214	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
Irene Montero	Unidas Podemos	699285113542248	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
European Commission		107898832590939	Facebook	5k_10k	5k - 10k	1	1	999999	500000	9999	5000
