spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	224019	25452	2243629220	531609473	18026736	153065
50_100	50 - 100	203358	22576	353634053	95349791	1869106	187495
100_1k	100 - 1k	74608	7851	2720675413	1091938586	14214682	3485139
1k_5k	1k - 5k	3081	615	1052145079	479408326	8905003	2046541
5k_10k	5k - 10k	485	114	103878572	48505723	1339465	415821
10k_50k	10k - 50k	34	16	20310288	9951112	418098	141174
50k_100k	50k - 100k	1	1	339972	169986	19670	3934
