gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	CY	Cyprus	29	17	222144	68862	823	5
m	male	CY	Cyprus	32	18	330747	86180	1896	6
u	unknown	CY	Cyprus	26	16	4289	1303	16	0
