advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Harald Vilimsky	FPÖ	547597092025909	Facebook	f	Facebook	AT	Austria	37	1	7170962	3105999	66462	14599
SPÖ	SPÖ	77393060080	Facebook	f	Facebook	AT	Austria	95	1	5647897	2301997	43704	12799
Sebastian Kurz	Volkspartei	105151752909840	Facebook	f	Facebook	AT	Austria	20	1	4549979	2049999	46280	10100
Die Grünen	Die Grünen	21759893033	Facebook	f	Facebook	AT	Austria	33	1	2970967	1290000	31267	8800
European Greens	European Greens	141366725876424	Facebook	f	Facebook	AT	Austria	14	1	2911344	1352876	27668	5822
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	AT	Austria	20	1	2182301	910230	11880	3119
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	f	Facebook	AT	Austria	335	1	2001598	468000	42458	2600
Werner Kogler	Die Grünen	133612666671985	Facebook	f	Facebook	AT	Austria	6	1	1959993	914999	12593	3099
FPÖ	FPÖ	169051073236170	Facebook	f	Facebook	AT	Austria	13	1	1949986	849999	21586	5499
kontrast.at	kontrast.at	1079650008770485	Facebook	f	Facebook	AT	Austria	30	1	1861970	712000	23070	4900
Stadt Wien	Stadt Wien	110971788921077	Facebook	f	Facebook	AT	Austria	21	1	1815979	756000	7079	1800
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	f	Facebook	AT	Austria	201	1	1815790	444997	24698	1199
Claudia Gamon	NEOS	447992848717452	Facebook	f	Facebook	AT	Austria	38	1	1810962	629000	13662	3300
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	f	Facebook	AT	Austria	5	1	1599993	799999	11994	2699
JUNOS Studierende	JUNOS Studierende	231166380411824	Facebook	f	Facebook	AT	Austria	52	1	1536978	405797	6345	299
Norbert Hofer	FPÖ	1650580648552563	Facebook	f	Facebook	AT	Austria	9	1	1455985	580997	14690	4099
Herbert Kickl	FPÖ	1977684662509834	Facebook	f	Facebook	AT	Austria	5	1	1449995	610000	11995	2700
Volkspartei Niederösterreich	Volkspartei Niederösterreich	185269004912086	Facebook	f	Facebook	AT	Austria	67	1	1228625	431871	16130	2699
1Europa	Peter Glawischnig	320389701908367	Facebook	f	Facebook	AT	Austria	24	1	1120976	387000	10876	1900
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	f	Facebook	AT	Austria	75	1	1066923	278000	8224	199
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	f	Facebook	AT	Austria	10	1	1039990	437000	8890	2300
Alexander Van der Bellen	Österreichische Präsidentschaftskanzlei	138508202860897	Facebook	f	Facebook	AT	Austria	1	1	999999	500000	4999	1000
GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	f	Facebook	AT	Austria	17	1	929563	314860	6080	1099
Barbara M. Thaler	Tiroler Volkspartei	1945277729020140	Facebook	f	Facebook	AT	Austria	301	1	819699	152000	30599	200
Europäisches Parlament Österreich	Europäisches Parlament Österreich	124468054313069	Facebook	f	Facebook	AT	Austria	5	1	759993	314999	6194	1199
NEOS	NEOS	327450964017497	Facebook	f	Facebook	AT	Austria	13	1	729986	245000	5386	1300
OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	f	Facebook	AT	Austria	25	1	706975	171000	4475	500
KPÖ PLUS	KPÖ PLUS	849742871847407	Facebook	f	Facebook	AT	Austria	21	1	697964	177997	5778	1199
Team Kurz	Volkspartei	1446536545429987	Facebook	f	Facebook	AT	Austria	5	1	649995	310000	7095	1700
Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	f	Facebook	AT	Austria	3	1	599997	300000	6997	2000
FSG - Fraktion Sozialdemokratischer GewerkschafterInnen	GewerkschafterInnen in der SPÖ	364093897023468	Facebook	f	Facebook	AT	Austria	14	1	575985	177999	4585	799
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	f	Facebook	AT	Austria	13	1	569986	263000	8786	2200
Andreas Schieder	SPÖ	290881691011354	Facebook	f	Facebook	AT	Austria	9	1	559991	205000	3791	1000
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	f	Facebook	AT	Austria	11	1	524988	170999	1489	100
Christian Zoll	Vorarlberger Volkspartei	601419393620184	Facebook	f	Facebook	AT	Austria	2	1	500998	199999	598	100
Grüne Jugend - Grünalternative Jugend	Grüne Jugend - Grünalternative Jugend	533665483708070	Facebook	f	Facebook	AT	Austria	15	1	462985	167000	1885	100
Thomas Stelzer	OÖVP - die Oberösterreichische Volkspartei	1786588968220782	Facebook	f	Facebook	AT	Austria	15	1	460985	137000	2685	300
Pamela Rendi-Wagner	SPÖ-Parlamentsklub	1673371229636129	Facebook	f	Facebook	AT	Austria	16	1	425983	132999	2383	199
Alex Bernhuber	Niederösterreichischer Bauernbund	382872055842390	Facebook	f	Facebook	AT	Austria	10	1	419989	90000	3389	599
Othmar Karas	Volkspartei	395638503864459	Facebook	f	Facebook	AT	Austria	5	1	359995	162000	6695	1600
FPÖ Niederösterreich	FPÖ Niederösterreich	150623338441911	Facebook	f	Facebook	AT	Austria	8	1	311991	121999	3391	1199
