platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	AT	Austria	Harald Vilimsky		547597092025909	Facebook	179	1	17629674	7484537	164107	38197
f	Facebook	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	726	1	17292412	5836973	130328	17798
f	Facebook	AT	Austria	European Parliament		178362315106	Facebook	134	1	11255136	4724243	107829	29409
f	Facebook	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	166	1	8841468	2865462	70145	13531
f	Facebook	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	268	1	8478723	2914996	56831	9499
f	Facebook	AT	Austria	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	8096890	3238997	43195	13999
f	Facebook	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1318	1	6952198	1527906	148012	4398
f	Facebook	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	74	1	5603921	2362997	35725	9399
f	Facebook	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	101	1	5589885	1792994	41798	7499
f	Facebook	AT	Austria	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	609	1	5340362	1571988	66290	1499
f	Facebook	AT	Austria	Europäisches Parlament Österreich		124468054313069	Facebook	35	1	4794893	1974969	18064	6399
f	Facebook	AT	Austria	Stadt Wien	Stadt Wien	110971788921077	Facebook	50	1	3283950	1144000	16650	2700
f	Facebook	AT	Austria	Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	18	1	3079960	1261991	4581	699
f	Facebook	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	290	1	2868349	670881	40206	2899
f	Facebook	AT	Austria	OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	39	1	1944961	521000	5461	400
f	Facebook	AT	Austria	European Greens	European Greens	141366725876424	Facebook	18	1	1829113	778749	12795	2950
f	Facebook	AT	Austria	Johann Gudenus		104145976305577	Facebook	50	1	1823937	706993	11049	1799
f	Facebook	AT	Austria	Othmar Karas	Volkspartei	395638503864459	Facebook	443	1	1623557	334000	49857	1500
f	Facebook	AT	Austria	Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	20	1	1611980	685000	9580	3000
f	Facebook	AT	Austria	FPÖ	FPÖ	169051073236170	Facebook	16	1	1510983	641999	12283	2999
f	Facebook	AT	Austria	Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	23	1	1319972	551997	14776	3999
f	Facebook	AT	Austria	Wirtschaftskammer		125946327466544	Facebook	164	1	1310836	325000	19436	800
f	Facebook	AT	Austria	SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	33	1	1156967	393000	8967	1700
f	Facebook	AT	Austria	Kialo		729627343834501	Facebook	355	1	1111243	386910	7255	1783
f	Facebook	AT	Austria	Pamela Rendi-Wagner	SPÖ-Parlamentsklub	1673371229636129	Facebook	72	1	1075289	273548	6870	99
