age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	PT	Portugal	503	208	1229530	469941	2561	253
18_24	18-24	PT	Portugal	3174	924	15034263	6200647	47075	8348
25_34	25-34	PT	Portugal	3720	1042	9978761	4054416	38340	6485
35_44	35-44	PT	Portugal	3632	1021	7614835	2980229	29030	4682
45_54	45-54	PT	Portugal	3634	976	5628782	2169800	22405	3371
55_64	55-64	PT	Portugal	2902	876	3888256	1457819	15472	1806
65_	65+	PT	Portugal	2440	767	3161471	1201951	12798	1512
