region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
abruzzo	Abruzzo	IT	Italy	8260	1978	1394072	390956	13341	267
aosta_valley	Aosta Valley	IT	Italy	6408	1564	196920	52081	1058	16
basilicata	Basilicata	IT	Italy	7500	1786	2051813	718859	10190	541
calabria	Calabria	IT	Italy	8335	2006	2704602	871907	16363	761
campania	Campania	IT	Italy	9297	2270	13180563	4346700	79537	5175
emilia_romagna	Emilia-Romagna	IT	Italy	10070	2559	13385960	4055827	110608	4448
friuli_venezia_giulia	Friuli-Venezia Giulia	IT	Italy	8318	2033	1691982	530945	17469	655
lazio	Lazio	IT	Italy	9957	2529	19319862	6201334	119656	8054
liguria	Liguria	IT	Italy	8775	2121	2752910	780494	24774	790
lombardia	Lombardia	IT	Italy	11118	2856	28982478	9816033	185700	13712
marche	Marche	IT	Italy	8402	2065	2530027	736066	22214	325
molise	Molise	IT	Italy	7053	1684	179522	44531	2163	109
piedmont	Piedmont	IT	Italy	10109	2485	19501575	6592615	122543	11388
puglia	Puglia	IT	Italy	8952	2204	8376848	2496601	51731	2199
sardinia	Sardinia	IT	Italy	7941	1932	1403237	404482	10296	285
sicilia	Sicilia	IT	Italy	8728	2168	11916509	4008887	68429	5198
trentino_alto_adige	Trentino-Alto Adige	IT	Italy	7881	2008	2525839	704949	20029	1120
tuscany	Tuscany	IT	Italy	9310	2414	10829336	3285479	84341	3695
umbria	Umbria	IT	Italy	8053	1998	3395042	941972	27498	608
veneto	Veneto	IT	Italy	9493	2447	13361710	4087069	88899	4265
