gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	CY	Cyprus	ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	84	1	1676862	501226	6182	192
m	male	CY	Cyprus	European Parliament		178362315106	Facebook	19	1	1237506	560274	7729	1633
m	male	CY	Cyprus	Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	27	1	869333	324114	2984	355
m	male	CY	Cyprus	European Parliament Office in Cyprus		205478755729	Facebook	9	1	823178	356954	3859	714
m	male	CY	Cyprus	Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	64	1	710177	152147	3565	0
m	male	CY	Cyprus	Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	22	1	702282	269588	2282	195
m	male	CY	Cyprus	Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	48	1	595677	132669	3008	0
m	male	CY	Cyprus	Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	22	1	579818	135534	1272	0
m	male	CY	Cyprus	Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	19	1	470694	119883	1534	89
m	male	CY	Cyprus	Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	21	1	388885	85275	1295	0
m	male	CY	Cyprus	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	23	1	378797	81956	1619	0
m	male	CY	Cyprus	Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	28	1	369493	84035	1820	0
m	male	CY	Cyprus	Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	38	1	326924	93716	2584	0
m	male	CY	Cyprus	Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	9	1	291461	85493	688	0
m	male	CY	Cyprus	γυρίζουμε		278308089460720	Facebook	6	1	254493	112066	1723	395
m	male	CY	Cyprus	UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	7	1	252518	109203	461	26
m	male	CY	Cyprus	Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	14	1	247943	55327	959	0
m	male	CY	Cyprus	AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	6	1	242277	108259	680	66
m	male	CY	Cyprus	Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	11	1	237209	49814	712	0
m	male	CY	Cyprus	Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	12	1	183453	40331	700	0
m	male	CY	Cyprus	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	5	1	182230	78029	1359	263
m	male	CY	Cyprus	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	15	1	161571	66555	308	80
m	male	CY	Cyprus	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	39	1	159612	72893	250	60
m	male	CY	Cyprus	Power Beach		484571345318227	Facebook	1	1	152809	76405	75	0
m	male	CY	Cyprus	Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	12	1	129278	27478	767	0
