country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	w020	Week 20	253	80	1166212	375310	4250	192
HR	Croatia	w019	Week 19	519	119	12041034	3971729	34794	2692
HR	Croatia	w018	Week 18	497	128	9816610	3847744	30364	3806
HR	Croatia	w017	Week 17	409	120	5332751	2149955	20414	3118
HR	Croatia	w016	Week 16	390	149	1186148	388174	4801	261
HR	Croatia	w015	Week 15	547	219	2267842	860529	7772	726
HR	Croatia	w014	Week 14	460	222	1624314	614289	6266	907
HR	Croatia	w013	Week 13	337	172	965487	371215	3402	302
HR	Croatia	w012	Week 12	314	161	1861034	667993	6291	399
HR	Croatia	w011	Week 11	190	92	962707	382421	3619	558
