recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	LU	Luxembourg	283	65	571424	219032	2433	276
rd2	Last 2 days	2019-05-12	2019-05-13	LU	Luxembourg	301	70	1246328	470033	5304	587
rd3	Last 3 days	2019-05-11	2019-05-13	LU	Luxembourg	336	77	1875756	711842	7933	900
rd4	Last 4 days	2019-05-10	2019-05-13	LU	Luxembourg	350	79	2504251	955288	10779	1218
rd5	Last 5 days	2019-05-09	2019-05-13	LU	Luxembourg	371	82	3060783	1142044	13276	1462
rd6	Last 6 days	2019-05-08	2019-05-13	LU	Luxembourg	384	85	3639295	1334918	15851	1705
rw1	Last week	2019-05-07	2019-05-13	LU	Luxembourg	412	88	4149318	1510734	19020	1958
rw2	Last 2 weeks	2019-04-30	2019-05-13	LU	Luxembourg	616	128	6891305	2395246	35325	3275
rw3	Last 3 weeks	2019-04-23	2019-05-13	LU	Luxembourg	844	159	8377857	2927027	43137	3867
rw4	Last 4 weeks	2019-04-16	2019-05-13	LU	Luxembourg	1007	208	8900156	3075913	46548	4163
rm1	Last month	2019-04-14	2019-05-13	LU	Luxembourg	1157	234	9258865	3176444	48655	4324
rm2	Last 2 months	2019-03-15	2019-05-13	LU	Luxembourg	2313	564	15032126	5022510	84036	7086
rm3	Last 3 months	2019-02-13	2019-05-13	LU	Luxembourg	2634	619	16161666	5333044	90037	7488
rm6	Last 6 months	2019-01-01	2019-05-13	LU	Luxembourg	2786	652	16508612	5446461	91581	7574
