advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
déi gréng	déi gréng	21710789873	Facebook	25_34	25-34	LU	Luxembourg	44	1	1513063	659124	7126	2200
European Parliament		178362315106	Facebook	25_34	25-34	LU	Luxembourg	106	1	1189411	463542	5980	921
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	25_34	25-34	LU	Luxembourg	130	1	1126505	365446	5912	583
Greenpeace Luxembourg		67370457805	Facebook	25_34	25-34	LU	Luxembourg	135	1	641338	176811	4388	161
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	25_34	25-34	LU	Luxembourg	28	1	232001	68823	731	30
déi Lénk	déi Lénk	120444648033670	Facebook	25_34	25-34	LU	Luxembourg	21	1	200561	57861	890	74
Charles Goerens		441313569220539	Facebook	25_34	25-34	LU	Luxembourg	30	1	189950	47615	731	41
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	25_34	25-34	LU	Luxembourg	33	1	188648	39727	947	0
Dan Kersch		231839814316073	Facebook	25_34	25-34	LU	Luxembourg	34	1	161925	46290	760	0
Piraten Lëtzebuerg		183148710560	Facebook	25_34	25-34	LU	Luxembourg	40	1	141915	40655	1076	0
CSV	CSV	56016549775	Facebook	25_34	25-34	LU	Luxembourg	40	1	100989	28270	874	0
European Greens		141366725876424	Facebook	25_34	25-34	LU	Luxembourg	36	1	79197	27985	630	121
Kialo		729627343834501	Facebook	25_34	25-34	LU	Luxembourg	338	1	69222	29178	427	108
European Investment Bank		350888674962511	Facebook	25_34	25-34	LU	Luxembourg	1	1	48305	24153	241	48
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25_34	25-34	LU	Luxembourg	41	1	31737	13438	68	14
Unis pour les Droits Humains		1642871805813802	Facebook	25_34	25-34	LU	Luxembourg	17	1	25361	10946	25	0
Volt Luxembourg	Volt Luxembourg	766459183561998	Facebook	25_34	25-34	LU	Luxembourg	12	1	23832	6413	326	0
Julia Elisabetta Pitterman		2235333396715580	Facebook	25_34	25-34	LU	Luxembourg	6	1	21554	4200	170	0
Chris Bernard		764820513891336	Facebook	25_34	25-34	LU	Luxembourg	21	1	20938	4680	428	0
Burelbach Immobilien		243135569564978	Facebook	25_34	25-34	LU	Luxembourg	1	1	20634	4126	40	0
LassosOfficiel		1747488868689379	Facebook	25_34	25-34	LU	Luxembourg	1	1	19511	9756	19	0
Déi Konservativ		235829416883581	Facebook	25_34	25-34	LU	Luxembourg	1	1	17479	3496	174	34
CSJ - Chrëschtlech-Sozial Jugend	CSJ - Chrëschtlech-Sozial Jugend	118614251515164	Facebook	25_34	25-34	LU	Luxembourg	5	1	16869	6612	227	0
L'Or du Commun		212885115510806	Facebook	25_34	25-34	LU	Luxembourg	1	1	16686	3337	33	0
Européens Sans Frontières		668031516635463	Facebook	25_34	25-34	LU	Luxembourg	8	1	16648	6527	30	7
