advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	25_34	25-34	407	1	18909448	8382751	106274	24165
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	25_34	25-34	5507	1	16863394	4740860	225615	12589
European Commission	European Commission	107898832590939	Facebook	25_34	25-34	92	1	15557353	7303654	60244	15032
CDU	CDU	78502295414	Facebook	25_34	25-34	14093	1	13898146	3079316	447266	1365
European Greens	European Greens	141366725876424	Facebook	25_34	25-34	81	1	10990282	4982588	91272	21260
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	25_34	25-34	3982	1	7406035	1870853	174337	7889
Best For Britain	Best for Britain	1863944713844924	Facebook	25_34	25-34	94	1	6329133	2563548	51417	11421
FDP	FDP	21289227249	Facebook	25_34	25-34	1929	1	5834687	1771063	62128	2471
SPD	SPD	47930567748	Facebook	25_34	25-34	4255	1	5605354	1511716	116081	3827
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	25_34	25-34	60	1	5557858	2490854	38256	8503
Avaaz	Avaaz	8340223883	Facebook	25_34	25-34	119	1	5531047	2352239	32808	7949
Fidesz	Fidesz	9844779306	Facebook	25_34	25-34	120	1	4091482	1780350	19853	8526
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	25_34	25-34	60	1	4028077	1762154	11732	2972
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	25_34	25-34	45	1	3871435	1721717	5938	1218
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	25_34	25-34	218	1	3786589	1543953	60257	14433
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	25_34	25-34	127	1	3647975	1519751	31404	7794
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	25_34	25-34	55	1	3494973	1545389	22182	5665
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25_34	25-34	292	1	3312291	1338722	17057	2989
Open Vld	Open Vld	53668151866	Facebook	25_34	25-34	103	1	3292270	1382034	34809	8649
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	25_34	25-34	138	1	3234557	1419755	8711	3714
Gouvernement	Gouvernement	392341217527576	Facebook	25_34	25-34	12	1	2844003	1251858	17283	3695
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	25_34	25-34	44	1	2800725	1271075	31312	7158
The Labour Party	The Labour Party	25749647410	Facebook	25_34	25-34	188	1	2774450	1127433	28661	5022
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	25_34	25-34	27	1	2760201	1183762	30732	8291
Ciudadanos	Ciudadanos	74078667754	Facebook	25_34	25-34	134	1	2699928	1060659	34451	8038
