advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	45_54	45-54	403	1	13951262	6242057	72117	16483
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	45_54	45-54	5119	1	6161168	1641339	82928	3963
CDU	CDU	78502295414	Facebook	45_54	45-54	13920	1	5953492	1278256	197485	550
Fidesz	Fidesz	9844779306	Facebook	45_54	45-54	121	1	5164205	2278456	25951	11126
SPD	SPD	47930567748	Facebook	45_54	45-54	3906	1	4285395	1060432	86826	2691
Avaaz	Avaaz	8340223883	Facebook	45_54	45-54	115	1	3306628	1425791	18328	4763
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	45_54	45-54	65	1	3197999	1333871	15450	3342
FDP	FDP	21289227249	Facebook	45_54	45-54	1932	1	3046281	904872	35818	1351
Open Vld	Open Vld	53668151866	Facebook	45_54	45-54	118	1	2674009	1146128	30114	7417
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	45_54	45-54	218	1	2612927	1065919	41016	9920
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	45_54	45-54	3755	1	2383571	605319	54213	3365
Ciudadanos	Ciudadanos	74078667754	Facebook	45_54	45-54	131	1	2291557	942745	24403	6034
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	45_54	45-54	44	1	2290610	1018050	3413	721
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	45_54	45-54	60	1	2283820	1024193	15340	3466
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	45_54	45-54	303	1	2076551	743264	21044	3701
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	45_54	45-54	20	1	2041740	954707	4788	1971
Moderaterna	Moderaterna	7719591155	Facebook	45_54	45-54	142	1	1976957	788825	32038	7621
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	45_54	45-54	42	1	1680362	732484	24812	7738
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	45_54	45-54	10	1	1639747	799101	3227	664
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	45_54	45-54	33	1	1496246	627922	3609	1049
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	45_54	45-54	10	1	1493102	706416	8016	1694
Gouvernement	Gouvernement	392341217527576	Facebook	45_54	45-54	14	1	1456767	651324	11594	2568
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	45_54	45-54	17	1	1443537	695179	14867	5252
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	45_54	45-54	54	1	1422562	625959	4975	1255
Vlaams Belang	Vlaams Belang	56605856504	Facebook	45_54	45-54	36	1	1421393	626659	21579	5144
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	45_54	45-54	55	1	1408057	621617	8658	2166
