advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Commission	European Commission	107898832590939	Facebook	13_17	13-17	41	1	1768389	819840	2389	686
European Parliament	European Parliament	178362315106	Facebook	13_17	13-17	106	1	763805	313301	2856	605
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	13_17	13-17	11	1	484451	201381	891	408
Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou	Πλεύση Ελευθερίας	1489639131352219	Facebook	13_17	13-17	37	1	455537	179512	709	32
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	13_17	13-17	5	1	386084	192261	165	50
European Greens	European Greens	141366725876424	Facebook	13_17	13-17	26	1	295670	132967	2714	569
Parlament Europejski - Biuro we Wrocławiu	Parlament Europejski - Biuro we Wrocławiu	426735034064813	Facebook	13_17	13-17	1	1	284073	113629	660	132
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	13_17	13-17	9	1	273085	106947	422	0
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	13_17	13-17	248	1	269675	66859	4674	251
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	13_17	13-17	18	1	266406	77944	3069	774
Harald Vilimsky	FPÖ	547597092025909	Facebook	13_17	13-17	37	1	243457	99757	2980	605
Jusos in der SPD	Jusos in der SPD	40415227476	Facebook	13_17	13-17	12	1	221867	59726	2323	415
1Europa	Peter Glawischnig	320389701908367	Facebook	13_17	13-17	23	1	215150	73852	1846	336
Cogito	Cogito	2059332547662115	Facebook	13_17	13-17	6	1	197642	79403	281	5
Jordens Vänner / Friends of the Earth Sweden	Jordens Vänner / Friends of the Earth Sweden	207890945895422	Facebook	13_17	13-17	7	1	195660	74891	377	77
Landeszentrale für politische Bildung Thüringen	Landeszentrale für politische Bildung Thüringen	215460201802938	Facebook	13_17	13-17	32	1	194806	49765	2657	487
SPÖ	SPÖ	77393060080	Facebook	13_17	13-17	68	1	184982	76828	1595	427
Die Grünen	Die Grünen	21759893033	Facebook	13_17	13-17	32	1	180649	77683	2087	585
#NatürlichEuropa	Deutscher Naturschutzring DNR e.V.	255657841991242	Facebook	13_17	13-17	1	1	175220	87610	437	87
Senatsverwaltung für Kultur und Europa		247450562347746	Facebook	13_17	13-17	3	1	155445	66643	332	133
Stadt Wien	Stadt Wien	110971788921077	Facebook	13_17	13-17	8	1	147404	50617	542	62
Grüne Jugend - Grünalternative Jugend	Grüne Jugend - Grünalternative Jugend	533665483708070	Facebook	13_17	13-17	14	1	144185	55454	642	38
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	13_17	13-17	7	1	131761	62669	764	185
SF Ungdom	SF Ungdom	113555862534	Facebook	13_17	13-17	3	1	131209	53112	186	71
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	13_17	13-17	26	1	129362	60102	152	35
