advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	35_44	35-44	402	1	14194335	6302093	75493	17181
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	35_44	35-44	5289	1	10065038	2775277	128387	7640
CDU	CDU	78502295414	Facebook	35_44	35-44	14029	1	8472816	1831342	282747	873
Fidesz	Fidesz	9844779306	Facebook	35_44	35-44	123	1	4524964	1983210	22033	9471
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	35_44	35-44	3774	1	4139848	1044184	95505	5182
European Greens	European Greens	141366725876424	Facebook	35_44	35-44	76	1	3976247	1824119	35034	8786
Avaaz	Avaaz	8340223883	Facebook	35_44	35-44	118	1	3946173	1683530	22611	5682
FDP	FDP	21289227249	Facebook	35_44	35-44	1931	1	3700054	1121575	39008	1541
SPD	SPD	47930567748	Facebook	35_44	35-44	3871	1	3512141	952745	64260	2629
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	35_44	35-44	60	1	3502653	1573602	23251	5287
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	35_44	35-44	44	1	3217098	1430164	4820	1005
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	35_44	35-44	220	1	3209474	1301804	50387	12046
Ciudadanos	Ciudadanos	74078667754	Facebook	35_44	35-44	132	1	3060889	1230124	33871	8203
Open Vld	Open Vld	53668151866	Facebook	35_44	35-44	112	1	2896460	1235439	31232	7834
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	35_44	35-44	306	1	2729469	965553	27453	4737
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	35_44	35-44	61	1	2691125	1192128	8608	2186
The Labour Party	The Labour Party	25749647410	Facebook	35_44	35-44	187	1	2481936	1034594	24505	4342
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	35_44	35-44	127	1	2428926	1008104	22806	5400
Gouvernement	Gouvernement	392341217527576	Facebook	35_44	35-44	14	1	2341475	1044362	19213	4032
Best For Britain	Best for Britain	1863944713844924	Facebook	35_44	35-44	74	1	2148463	898500	17854	4038
INBOX	New Digital Media	369693523475596	Facebook	35_44	35-44	64	1	2081266	928992	2843	310
To Potami	To Potami	240638659452549	Facebook	35_44	35-44	19	1	2021575	922731	11641	2672
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	35_44	35-44	55	1	1928231	849583	12009	3041
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	35_44	35-44	43	1	1925573	843155	28033	8836
Kyriakos Mitsotakis	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	34848567724	Facebook	35_44	35-44	36	1	1925254	847589	5286	1114
