advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	55_64	55-64	400	1	13766383	6184923	69340	15778
Fidesz	Fidesz	9844779306	Facebook	55_64	55-64	121	1	5488905	2432224	28351	12114
SPD	SPD	47930567748	Facebook	55_64	55-64	3840	1	3186870	735436	74329	1819
Ciudadanos	Ciudadanos	74078667754	Facebook	55_64	55-64	135	1	2932521	1352206	28004	8323
CDU	CDU	78502295414	Facebook	55_64	55-64	13519	1	2691304	579843	88278	240
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	55_64	55-64	4762	1	2494168	672454	35510	1675
Avaaz	Avaaz	8340223883	Facebook	55_64	55-64	112	1	2375662	1036113	12181	3246
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	55_64	55-64	68	1	2328646	976628	11611	2522
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	55_64	55-64	216	1	2238558	910307	33886	8131
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	55_64	55-64	138	1	2003450	594572	7696	2160
Open Vld	Open Vld	53668151866	Facebook	55_64	55-64	117	1	1958773	833240	21356	5345
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	55_64	55-64	20	1	1664356	774259	3900	1582
FDP	FDP	21289227249	Facebook	55_64	55-64	1910	1	1609697	464784	21416	798
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	55_64	55-64	10	1	1594363	754973	8312	1784
Moderaterna	Moderaterna	7719591155	Facebook	55_64	55-64	142	1	1542126	616906	28155	6703
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	55_64	55-64	20	1	1436651	662398	4482	2068
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	55_64	55-64	3720	1	1421929	365571	31867	2223
Conservatives	The Conservative Party	8807334278	Facebook	55_64	55-64	1367	1	1372184	315992	45555	1223
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	55_64	55-64	35	1	1352427	609144	3695	879
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	55_64	55-64	305	1	1311719	474875	13447	2381
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	55_64	55-64	21	1	1283198	544633	7633	1720
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	55_64	55-64	116	1	1204197	495078	3799	1595
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	55_64	55-64	60	1	1200921	536319	8227	1832
MSZP	MSZP	115388925185513	Facebook	55_64	55-64	40	1	1194710	493988	3603	1480
Приоритети	БЗНС	1163987410423594	Facebook	55_64	55-64	36	1	1144598	482178	5547	957
