age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	6917	1376	18617659	6642524	124448	15808
18_24	18-24	80772	6181	509482747	188789486	4120043	628270
25_34	25-34	84631	6381	539742950	199030645	4494009	692411
35_44	35-44	82979	6358	397106496	145022138	3232173	511039
45_54	45-54	80657	6233	331162025	119345216	2787338	440573
55_64	55-64	77553	6063	257253931	91701365	2178505	354859
65_	65+	72719	5721	170917923	59899620	1560617	266535
