advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	65_	65+	400	1	10036064	4504837	52972	12129
Fidesz	Fidesz	9844779306	Facebook	65_	65+	122	1	4030462	1786216	21300	9068
Moderaterna	Moderaterna	7719591155	Facebook	65_	65+	140	1	1866065	725108	36940	8989
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	65_	65+	135	1	1767710	519964	6943	1932
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	65_	65+	163	1	1645329	669241	20877	5332
SPD	SPD	47930567748	Facebook	65_	65+	3695	1	1550210	339172	42531	824
Ciudadanos	Ciudadanos	74078667754	Facebook	65_	65+	131	1	1547318	710621	14811	4382
Conservatives	The Conservative Party	8807334278	Facebook	65_	65+	1376	1	1388502	299575	49533	1193
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	65_	65+	68	1	1266717	527447	6728	1436
Avaaz	Avaaz	8340223883	Facebook	65_	65+	110	1	1249430	547305	6329	1700
Open Vld	Open Vld	53668151866	Facebook	65_	65+	113	1	1099228	465418	11982	3027
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	65_	65+	3655	1	1094729	281107	24608	1791
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	65_	65+	115	1	1077041	447324	3542	1520
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	65_	65+	4510	1	1051053	284494	14948	718
Gouvernement	Gouvernement	392341217527576	Facebook	65_	65+	14	1	1041071	403951	4962	1367
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	65_	65+	40	1	1025455	439599	13213	4423
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	65_	65+	10	1	1002275	471477	5098	1118
MSZP	MSZP	115388925185513	Facebook	65_	65+	40	1	983758	405090	3158	1292
CDU	CDU	78502295414	Facebook	65_	65+	12758	1	980073	214382	31429	86
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	65_	65+	19	1	930727	428184	2928	1348
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	65_	65+	21	1	927313	397135	5812	1315
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	65_	65+	124	1	911048	307440	16492	5195
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	65_	65+	96	1	883939	311808	3085	1165
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	65_	65+	11	1	847322	414072	4463	889
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	65_	65+	36	1	833658	325281	1983	647
European Free Alliance	European Free Alliance	46708306425	Facebook	65_	65+	31	1	782813	303821	7093	1525
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	65_	65+	88	1	753933	265309	22103	5027
Podemos	UNIDAS PODEMOS CAMBIAR EUROPA	269212336568846	Facebook	65_	65+	14	1	748032	363228	12747	2942
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	65_	65+	19	1	730882	338116	1728	692
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	65_	65+	144	1	725170	270002	2280	860
FDP	FDP	21289227249	Facebook	65_	65+	1901	1	719161	206448	10082	367
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	65_	65+	34	1	715311	323840	1883	461
European Commission	European Commission	107898832590939	Facebook	65_	65+	24	1	700426	297883	1465	458
Make.org	Make.org	122037308191612	Facebook	65_	65+	2	1	699998	300000	9998	2000
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	65_	65+	303	1	694854	253631	7136	1260
Приоритети	БЗНС	1163987410423594	Facebook	65_	65+	36	1	691565	282527	3415	574
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	65_	65+	45	1	686668	243750	7588	2123
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	65_	65+	23	1	684447	319158	4928	1078
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	65_	65+	48	1	644623	279535	2628	661
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	65_	65+	58	1	617866	213825	10880	2779
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	65_	65+	16	1	607586	272278	4206	974
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	65_	65+	43	1	601215	260198	9124	2754
Brando Benifei	Brando Benifei	291380024325396	Facebook	65_	65+	22	1	595787	237160	3850	897
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	65_	65+	11	1	583073	257783	4531	1030
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	65_	65+	260	1	579733	203412	4267	621
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	65_	65+	17	1	573857	267685	7373	2905
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	65_	65+	32	1	539020	180333	1911	630
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	65_	65+	122	1	533323	207556	3620	692
Nicola Clerici europee 2019 M5S	Nicola Clerici	2340174086227422	Facebook	65_	65+	37	1	529175	166204	2981	679
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	65_	65+	30	1	526556	209085	2871	734
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	65_	65+	911	1	522340	15639	45503	0
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	65_	65+	55	1	519824	228550	3346	891
Simona Bonafè	Simona Bonafè	145437958954905	Facebook	65_	65+	35	1	501386	168066	3941	709
Jakab Péter	Jobbik Magyarországért Mozgalom	781150971947219	Facebook	65_	65+	11	1	460063	192252	1024	456
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	65_	65+	11	1	456229	194855	6306	1352
SPÖ	SPÖ	77393060080	Facebook	65_	65+	89	1	449899	181067	3302	1012
Nicola Danti	Nicola Danti	241424056063716	Facebook	65_	65+	26	1	446876	148673	2843	441
Forza Italia	Forza Italia	172265396249029	Facebook	65_	65+	10	1	442805	180447	1821	525
Vlaams Belang	Vlaams Belang	56605856504	Facebook	65_	65+	36	1	435510	191828	6815	1581
Edukacja dla Dobrego Klimatu	Wojciech Makowski	798249970192065	Facebook	65_	65+	20	1	434050	180229	2131	614
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	65_	65+	71	1	426635	152296	5908	1298
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	65_	65+	29	1	422989	120658	4051	1425
Esquerra Barcelona	Esquerra Barcelona	374070875952519	Facebook	65_	65+	35	1	411429	168467	3737	818
The Labour Party	The Labour Party	25749647410	Facebook	65_	65+	179	1	410604	184454	4970	1138
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	65_	65+	89	1	400214	114128	1015	309
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	65_	65+	70	1	399660	147114	2494	404
Centerpartiet	Centerpartiet	12690894340	Facebook	65_	65+	24	1	391353	146819	5462	1796
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	65_	65+	17	1	381110	172603	1228	559
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	65_	65+	15	1	380149	125234	1282	401
Più Europa Vercelli	Carloalberto Polidori	527235457776008	Facebook	65_	65+	14	1	379128	158300	2003	356
KUKIZ'15	Komitet Wyborczy Wyborców Kukiz'15	328170794051845	Facebook	65_	65+	179	1	367500	101330	1129	206
CD&V	CD&V	52997544531	Facebook	65_	65+	102	1	360710	125428	3077	548
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	65_	65+	10	1	357591	171285	791	166
Крум Дончев/Krum Donchev	Крум Дончев/Krum Donchev	155516354469476	Facebook	65_	65+	15	1	351654	126097	883	266
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	65_	65+	49	1	349102	148499	1377	364
Deputati PD	Deputati PD	104652392900508	Facebook	65_	65+	23	1	348862	71506	820	0
Amnesty International UK	Amnesty International UK	7624294394	Facebook	65_	65+	429	1	334955	69636	7809	348
DIE LINKE	DIE LINKE	47694585682	Facebook	65_	65+	604	1	324699	86925	3830	72
Kokoomus	Kokoomus	201285237101	Facebook	65_	65+	282	1	322529	82169	7453	605
Ruth Davidson	the Scottish Conservative and Unionist Party	242829922425897	Facebook	65_	65+	1	1	321689	128676	3721	744
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	65_	65+	42	1	321605	83581	5212	1828
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	65_	65+	18	1	319872	143679	11513	2513
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	65_	65+	14	1	313819	146215	712	160
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	65_	65+	7	1	313785	147080	1840	409
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	65_	65+	16	1	313134	140102	1542	393
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	65_	65+	25	1	312571	128851	995	237
Federica Picchi	Federica Picchi	362494797700891	Facebook	65_	65+	31	1	305766	98478	1832	324
Partito Democratico	Partito Democratico	77034286895	Facebook	65_	65+	55	1	299934	125575	1838	298
CDA	CDA	320374518118	Facebook	65_	65+	8	1	297575	130076	1861	459
Nicola Beer	FDP	206866712830769	Facebook	65_	65+	81	1	295180	116013	3201	658
Die Offene Gesellschaft	die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift	912255502235222	Facebook	65_	65+	413	1	292199	68101	5898	254
In Progress	In Progress	254883792041627	Facebook	65_	65+	6	1	292095	134456	1097	309
Lara Comi	Lara Comi	155619044465389	Facebook	65_	65+	21	1	292049	120466	1836	371
Carmine Spiaggia	Carmine Spiaggia	425820797979047	Facebook	65_	65+	4	1	291065	119787	1698	415
Carlo Calenda	Siamo Europei	131887960826264	Facebook	65_	65+	11	1	288212	137696	1228	270
Alfahír	Alfahír Hírportál	525574220799452	Facebook	65_	65+	19	1	285101	92986	1319	566
Più Europa	Più Europa	126662574668084	Facebook	65_	65+	5	1	284875	132131	1588	394
Caterina Avanza	Partito Democratico - Caterina Avanza	623847078064207	Facebook	65_	65+	15	1	284288	115199	2084	508
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	65_	65+	10	1	283955	119622	2474	628
Katarina Barley	SPD	1522202731410785	Facebook	65_	65+	667	1	279570	62384	5777	50
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	65_	65+	35	1	279489	117363	1425	292
Podemos Comunidad de Madrid	Unidas Podemos Izquierda Unida Madrid en Pie	261762710669900	Facebook	65_	65+	26	1	274193	126301	3904	1353
Antonio Silvio Calò	Antonio Silvio Calò	740380199679755	Facebook	65_	65+	14	1	262787	100128	905	225
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	65_	65+	20	1	260671	110978	1092	216
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	65_	65+	16	1	258481	60851	739	180
Peter Mertens	PVDA	236485149843971	Facebook	65_	65+	43	1	257896	104663	2208	603
Harald Vilimsky	FPÖ	547597092025909	Facebook	65_	65+	35	1	252242	111065	2035	479
sp.a	sp.a	57253967150	Facebook	65_	65+	35	1	249402	106322	902	247
Sosventurini	Antonfrancesco Venturini 	405956940133035	Facebook	65_	65+	13	1	248307	119145	1284	226
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	65_	65+	43	1	245540	76285	416	124
INBOX	New Digital Media	369693523475596	Facebook	65_	65+	44	1	241485	96885	563	32
Gazeta Wyborcza	Gazeta Wyborcza	63563473556	Facebook	65_	65+	77	1	239388	67406	540	85
Път на младите	Път на младите	2051476654950711	Facebook	65_	65+	14	1	237411	104645	848	149
Luciano Nobili	Luciano Nobili	406187203142799	Facebook	65_	65+	26	1	236622	53785	677	0
Voxpop Analysis	Ιωάννης Απόστολος Σκλίας	126822114784105	Facebook	65_	65+	42	1	236614	65582	1581	155
Daniela Santanchè	Daniela Garnero Santanchè	56413702888	Facebook	65_	65+	21	1	235384	78544	1146	240
Giuliano Pisapia	Giuliano Pisapia	112352038802143	Facebook	65_	65+	13	1	235069	99526	769	129
Enhedslisten	Enhedslisten	223040066022	Facebook	65_	65+	35	1	235010	95353	2609	1063
38 Degrees	38 Degrees	200006375787	Facebook	65_	65+	53	1	234410	72348	1876	70
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	65_	65+	94	1	233661	96029	1195	321
Skuola.net	Skuola.net	126578555602	Facebook	65_	65+	8	1	232775	111614	581	108
ČSSD	ČSSD	111041662264882	Facebook	65_	65+	132	1	232137	78593	2986	671
Ældre Sagen	Ældre Sagen	126543540781090	Facebook	65_	65+	26	1	231452	53239	2149	539
Paolo De Castro	Paolo De Castro	441907505922632	Facebook	65_	65+	24	1	231345	74137	1003	107
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	65_	65+	23	1	230855	87192	1296	366
Partido Socialista de la Región de Murcia (PSRM-PSOE)	Partido Socialista de la Región de Murcia 	154616807805	Facebook	65_	65+	50	1	230706	50571	1471	161
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	65_	65+	10	1	230570	108352	1503	523
Βασιλική Λαζαράκου	Βασιλική Λαζαράκου 	443842809693601	Facebook	65_	65+	11	1	229359	96017	618	241
Andrej Babiš	ANO	214827221987263	Facebook	65_	65+	11	1	229234	101412	1921	496
Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	65_	65+	13	1	228202	93527	1977	437
Andrea Cozzolino	Andrea Cozzolino	1449151341981719	Facebook	65_	65+	18	1	227722	80908	943	155
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	65_	65+	9	1	227431	92620	2649	545
Plan International Sverige	Plan International Sverige	382243262003	Facebook	65_	65+	31	1	226994	92868	1938	566
Παύλος Γερουλάνος	Παύλος Γερουλάνος	196882087005924	Facebook	65_	65+	45	1	224015	89401	1170	214
Matilde Montaudo, cittadina a 5 stelle	Matilde Ada Montaudo	492569564129501	Facebook	65_	65+	27	1	218837	86626	821	129
Nikolaj Villumsen	Nikolaj Villumsen	529124290474705	Facebook	65_	65+	41	1	218614	80463	3449	896
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	65_	65+	26	1	218431	93770	314	91
To Potami	To Potami	240638659452549	Facebook	65_	65+	4	1	216466	100828	859	294
Raffaella Bonsangue	Giuseppe Mangano, mandatario elettorale Avv. Raffaella Bonsangue	963373667373045	Facebook	65_	65+	13	1	214850	88284	1283	227
Alberto Cirio	RedAbissi	1391061901114543	Facebook	65_	65+	48	1	213380	62903	1512	219
Mara Bizzotto Pagina Ufficiale	Mara Bizzotto	206708532746370	Facebook	65_	65+	12	1	213174	73321	630	87
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	65_	65+	7	1	209461	94617	1425	318
Kyriakos Mitsotakis	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	34848567724	Facebook	65_	65+	20	1	208955	90915	593	120
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	65_	65+	15	1	208606	68733	919	145
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	65_	65+	41	1	208193	58306	664	60
Isabella De Monte	Walter Godina - Mandatario Elettorale di Isabella De Monte	152661171597544	Facebook	65_	65+	16	1	204168	63278	1796	312
Elio Di Rupo	Parti Socialiste (PS)	16301530829	Facebook	65_	65+	16	1	203837	73536	2138	428
Dr. Molnár Csaba	Demokratikus Koalíció	306318386058001	Facebook	65_	65+	9	1	201960	54945	756	193
Jávor Benedek	Párbeszéd Magyarországért	131797633528377	Facebook	65_	65+	22	1	201780	54192	786	169
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	65_	65+	62	1	199798	56811	1399	209
Junts per Catalunya	Junts per Catalunya	386166375144833	Facebook	65_	65+	21	1	194467	71691	1422	433
Dino Giarrusso	Dino Giarrusso	987371561280376	Facebook	65_	65+	6	1	192811	74148	711	129
Adam Bielan	KW PRAWO I SPRAWIEDLIWOŚĆ	228951150597089	Facebook	65_	65+	50	1	191958	73034	999	256
RMDSZ	RMDSZ	102601499822802	Facebook	65_	65+	64	1	191619	56263	477	88
