advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	PT	Portugal	63	1	9040282	3977716	31725	6802
Kialo		729627343834501	Facebook	f	Facebook	PT	Portugal	372	1	5296753	2219751	24128	5929
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	f	Facebook	PT	Portugal	47	1	3330585	1303305	5002	181
European Commission		107898832590939	Facebook	f	Facebook	PT	Portugal	10	1	2574889	1122780	4229	1637
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	Facebook	PT	Portugal	33	1	1622793	758354	3839	1101
Prime School of Portugal		513000912072814	Facebook	f	Facebook	PT	Portugal	39	1	1576446	594914	6755	997
MEO		69209479569	Facebook	f	Facebook	PT	Portugal	4	1	1423869	560210	2302	738
National Geographic		107307059419	Facebook	f	Facebook	PT	Portugal	4	1	1137759	563808	526	99
Greens/EFA in the European Parliament		150527751674751	Facebook	f	Facebook	PT	Portugal	34	1	1094979	467342	1258	168
The Bamboo Brush Society		1152885191422950	Facebook	f	Facebook	PT	Portugal	31	1	969604	379346	2539	271
Fundação Calouste Gulbenkian		49386033906	Facebook	f	Facebook	PT	Portugal	1	1	941665	470833	469	94
Página Miguel Viegas		194651341130667	Facebook	f	Facebook	PT	Portugal	13	1	928888	360141	3554	573
Carlos Coelho		306796832807017	Facebook	f	Facebook	PT	Portugal	6	1	657923	328964	2819	565
Rios Livres		247517791943794	Facebook	f	Facebook	PT	Portugal	10	1	572619	225966	1683	186
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	f	Facebook	PT	Portugal	54	1	545132	239899	2770	624
Democracia para todos		141310866605696	Facebook	f	Facebook	PT	Portugal	13	1	522029	166831	1672	99
VoteWatch Europe		355087424564148	Facebook	f	Facebook	PT	Portugal	5	1	478767	198480	973	375
Esquerda Net	Esquerda Net	116426248469551	Facebook	f	Facebook	PT	Portugal	2	1	399998	200000	1998	1000
José Manuel Fernandes		255056481315205	Facebook	f	Facebook	PT	Portugal	3	1	393429	196716	1049	192
350.org		12185972707	Facebook	f	Facebook	PT	Portugal	27	1	309013	78776	1507	219
Stone Brewing Spain		1619410238105995	Facebook	f	Facebook	PT	Portugal	1	1	280671	112269	55	0
European Youth Event		919232861444360	Facebook	f	Facebook	PT	Portugal	7	1	277247	123944	766	173
UNICEF Portugal		193697864002162	Facebook	f	Facebook	PT	Portugal	11	1	259133	82138	1026	0
DHI Portugal - Transplante / Implante Capilar		284222438449920	Facebook	f	Facebook	PT	Portugal	5	1	239600	78120	1207	188
EU Justice and Consumers		278117815576023	Facebook	f	Facebook	PT	Portugal	7	1	210134	100885	1023	94
