advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kyriakos Mitsotakis		34848567724	Facebook	m	male	EL	Greece	112	1	12396680	5269668	26913	5364
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	m	male	EL	Greece	90	1	10296593	4365111	21065	3992
European Parliament		178362315106	Facebook	m	male	EL	Greece	69	1	9519461	4510945	31798	7608
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	m	male	EL	Greece	146	1	8988265	3572634	29858	6478
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	m	male	EL	Greece	58	1	8136516	3610813	19320	4588
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	m	male	EL	Greece	224	1	6328871	2242333	25627	2747
INBOX	New Digital Media	369693523475596	Facebook	m	male	EL	Greece	66	1	5207931	2255290	6284	525
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	m	male	EL	Greece	130	1	4771269	1780216	22722	3580
Kialo		729627343834501	Facebook	m	male	EL	Greece	352	1	4369884	1785531	21073	4886
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	m	male	EL	Greece	189	1	4234718	1259703	14022	449
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	m	male	EL	Greece	180	1	2963780	891211	18227	205
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	m	male	EL	Greece	16	1	2879553	1301214	4481	1214
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	m	male	EL	Greece	97	1	2513692	735138	7412	408
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	m	male	EL	Greece	86	1	2343360	504838	5864	0
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	m	male	EL	Greece	117	1	2300095	670697	10243	489
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	m	male	EL	Greece	103	1	2123507	825848	8620	517
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	m	male	EL	Greece	25	1	1933500	804500	3094	299
George Kyrtsos - Γιώργος Κύρτσος	DigitalWise Agency 	1413834448867079	Facebook	m	male	EL	Greece	67	1	1918508	556522	5768	220
Άννα Μισέλ Ασημακοπούλου	Άννα Μισέλ Ασημακοπούλου	1394997234118853	Facebook	m	male	EL	Greece	75	1	1742639	619021	6476	386
Κατερινα Μαρκου	Pulse and Opinion S.A.	832766380123763	Facebook	m	male	EL	Greece	18	1	1715331	723906	2217	267
Eva Kaili	Eva Kaili	13721812367	Facebook	m	male	EL	Greece	21	1	1600095	634985	5953	976
Ιωάννης Πάιδας-Υποψήφιος Ευρωβουλευτής Νέας Δημοκρατίας		312321199470594	Facebook	m	male	EL	Greece	45	1	1442772	461098	3082	0
Σπύρος Ριζόπουλος	Spyridon Rizopoulos	2127727860849871	Facebook	m	male	EL	Greece	63	1	1381854	350889	4525	0
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	m	male	EL	Greece	44	1	1368443	558469	3413	480
Δημήτρης Παπαδημούλης	Dimitrios Papadimoulis	528797520505550	Facebook	m	male	EL	Greece	19	1	1286899	476949	4666	709
