impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	85868	10612	141633829	0	7572815	12951
1k_5k	1k - 5k	67456	13561	305620241	57740000	5569090	77530
5k_10k	5k - 10k	32417	7083	234299317	113505000	2615779	161934
10k_50k	10k - 50k	42142	6785	1613312913	315253182	8605950	1323622
50k_100k	50k - 100k	7601	1845	655527982	309753408	3976469	917856
100k_200k	100k - 200k	5276	1119	709230766	336603408	4195725	983247
200k_500k	200k - 500k	2497	676	1201652425	425865446	6452534	1218581
500k_1m	500k - 1m	1108	279	787172119	338317276	4049817	804434
1m_2m	1m - 2m	534	51	138172768	13817276	1240108	31683
2m_10m	2m - 10m	75	15	308556067	30855606	731689	24417
10m_100m	10m - 100m	76	15	441443932	44144393	1046810	34932
100m_1000m	100m - 1000m	1	1	100000000	10000000	60000	30000
