impression_code_filter	impression_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
50k_100k	50k - 100k	Britain's Future	Britain's Future	1625300137516491	Facebook	185	1	18499815	9250000	128465	39228
50k_100k	50k - 100k	European Parliament		178362315106	Facebook	183	1	18299817	9150000	94715	27056
50k_100k	50k - 100k	People's Vote UK	People's Vote	748608695327755	Facebook	145	1	14499855	7250000	140546	40617
50k_100k	50k - 100k	Ciudadanos	Ciudadanos	74078667754	Facebook	138	1	13799862	6900000	70962	15700
50k_100k	50k - 100k	Kialo		729627343834501	Facebook	125	1	12499875	6250000	80652	21091
50k_100k	50k - 100k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	91	1	9099909	4550000	67011	25921
50k_100k	50k - 100k	The Labour Party	The Labour Party	25749647410	Facebook	83	1	8299917	4150000	62970	18515
50k_100k	50k - 100k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	83	1	8299917	4150000	53713	14233
50k_100k	50k - 100k	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	76	1	7599924	3800000	37224	7700
50k_100k	50k - 100k	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	70	1	6999930	3500000	34130	6800
50k_100k	50k - 100k	FDP	FDP	21289227249	Facebook	62	1	6199938	3100000	29938	6500
50k_100k	50k - 100k	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	177	1	5328230	532823	14660	481
50k_100k	50k - 100k	PSOE	PSOE	189318235003	Facebook	53	1	5299947	2650000	17647	3100
50k_100k	50k - 100k	We are the 52%	We are the 52%	466744973727718	Facebook	51	1	5099949	2550000	21117	3818
50k_100k	50k - 100k	sp.a	sp.a	57253967150	Facebook	50	1	4999950	2500000	27450	5400
50k_100k	50k - 100k	SPD	SPD	47930567748	Facebook	49	1	4899951	2450000	39951	14600
50k_100k	50k - 100k	Partido Popular	Partido Popular	72249031214	Facebook	49	1	4899951	2450000	24251	5400
50k_100k	50k - 100k	38 Degrees	38 Degrees	200006375787	Facebook	41	1	4099959	2050000	23674	4744
