country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	budapest	Budapest	4199	902	19666126	7598461	46497	13452
HU	Hungary	pest_county	Pest County	3477	770	2634739	957890	6740	2160
HU	Hungary	borsod_abauj_zemplen_county	Borsod-Abaúj-Zemplén County	3170	653	1599533	549031	3114	980
HU	Hungary	bacs_kiskun_county	Bács-Kiskun County	3094	648	1385203	432554	3305	916
HU	Hungary	csongrad_county	Csongrád County	3178	650	1380221	508295	3039	1116
HU	Hungary	fejer_county	Fejér County	3112	615	1087444	396376	2413	845
HU	Hungary	szabolcs_szatmar_bereg_county	Szabolcs-Szatmár-Bereg County	2977	628	1077671	371789	2384	690
HU	Hungary	bekes_county	Békés County	2908	588	1072357	311618	1860	498
HU	Hungary	hajdu_bihar_county	Hajdú-Bihar County	3195	654	1021728	366951	2183	776
HU	Hungary	gyor_moson_sopron_county	Győr-Moson-Sopron County	3317	672	985179	314154	1989	587
HU	Hungary	jasz_nagykun_szolnok_county	Jász-Nagykun-Szolnok County	2890	581	910967	307092	1920	562
HU	Hungary	somogy_county	Somogy County	2916	579	863666	234257	1579	500
HU	Hungary	baranya_county	Baranya County	3126	612	805573	249825	1918	564
HU	Hungary	veszprem_county	Veszprém County	2964	605	749595	210080	1769	499
HU	Hungary	vas_county	Vas County	2885	564	689030	195893	1554	384
HU	Hungary	komarom_esztergom_county	Komárom-Esztergom County	3047	601	646772	251916	1956	630
HU	Hungary	heves_county	Heves County	2867	592	589636	170374	1131	328
HU	Hungary	zala_county	Zala County	2861	559	560764	181577	1365	423
HU	Hungary	tolna_county	Tolna County	2718	524	231093	76487	607	191
HU	Hungary	nograd_county	Nógrád County	2613	509	165262	66277	325	95
