week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-07	SE	Sweden	1154	215	5176082	1396514	35036	8178
w018	Week 18	2019-04-29	2019-05-05	SE	Sweden	1868	349	18652724	5816932	142122	34538
w017	Week 17	2019-04-22	2019-04-28	SE	Sweden	1345	341	6574142	2154926	55273	14148
w016	Week 16	2019-04-15	2019-04-21	SE	Sweden	1265	399	7254672	2581367	51878	13670
w015	Week 15	2019-04-08	2019-04-14	SE	Sweden	1665	579	10742468	3872751	95336	22861
w014	Week 14	2019-04-01	2019-04-07	SE	Sweden	1393	502	8173777	2734760	77122	17857
w013	Week 13	2019-03-25	2019-03-31	SE	Sweden	1126	376	8819502	3184391	80192	20592
w012	Week 12	2019-03-18	2019-03-24	SE	Sweden	1005	316	7581798	2785032	65808	16803
w011	Week 11	2019-03-11	2019-03-17	SE	Sweden	844	295	9183792	3326712	78107	19569
w010	Week 10	2019-03-04	2019-03-10	SE	Sweden	1096	313	8518367	3045291	70777	17482
w009	Week 9	2019-02-25	2019-03-03	SE	Sweden	417	143	3629814	1138568	21389	5249
w008	Week 8	2019-02-18	2019-02-24	SE	Sweden	214	81	1202989	460438	6317	1500
w007	Week 7	2019-02-11	2019-02-17	SE	Sweden	209	80	907035	265445	6228	1231
w006	Week 6	2019-02-04	2019-02-10	SE	Sweden	170	61	1371802	412227	9268	2071
w005	Week 5	2019-01-28	2019-02-03	SE	Sweden	238	56	1564437	538579	12540	3157
w004	Week 4	2019-01-21	2019-01-27	SE	Sweden	203	56	2304634	921455	20021	4952
w003	Week 3	2019-01-14	2019-01-20	SE	Sweden	193	47	1984960	783002	15991	3924
w002	Week 2	2019-01-07	2019-01-13	SE	Sweden	190	46	2319072	807607	16752	4713
w001	Week 1	2019-01-01	2019-01-06	SE	Sweden	140	32	822544	308064	8377	2030
