region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
central_finland	Central Finland	FI	Finland	744	125	216363	51545	3865	306
central_ostrobothnia	Central Ostrobothnia	FI	Finland	677	113	27537	4767	1197	20
etela_savo	Etelä-Savo	FI	Finland	671	114	51083	14063	1275	44
kainuu	Kainuu	FI	Finland	592	99	31689	6271	983	2
kymenlaakso	Kymenlaakso	FI	Finland	677	117	182952	37009	2837	270
lapland_finland	Lapland (Finland)	FI	Finland	697	115	252549	53520	4923	451
north_karelia	North Karelia	FI	Finland	684	108	55813	13323	1742	63
northern_ostrobothnia	Northern Ostrobothnia	FI	Finland	783	126	425169	103490	6547	630
ostrobothnia_region	Ostrobothnia (region)	FI	Finland	721	120	463158	132160	6852	341
pirkanmaa	Pirkanmaa	FI	Finland	862	133	592769	164238	9530	1547
pohjois_savo	Pohjois-Savo	FI	Finland	710	116	141052	30463	2618	113
paijat_hame	Päijät-Häme	FI	Finland	717	119	138248	33490	2050	184
satakunta	Satakunta	FI	Finland	754	122	296984	72151	4122	400
south_karelia	South Karelia	FI	Finland	670	110	54029	17203	1026	23
southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	686	116	174483	39129	3647	223
southwest_finland	Southwest Finland	FI	Finland	1057	138	924076	243257	13179	1160
tavastia_proper	Tavastia Proper	FI	Finland	725	117	145137	38609	2140	166
uusimaa	Uusimaa	FI	Finland	1101	150	5634741	1823710	73996	11712
aland_islands	Åland Islands	FI	Finland	532	110	242459	60298	2924	212
