advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	f	Facebook	DK	Denmark	449	1	16195433	5435951	115186	30676
European Parliament		178362315106	Facebook	f	Facebook	DK	Denmark	99	1	6140744	2555178	55248	12240
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	f	Facebook	DK	Denmark	174	1	5407779	1607985	72763	18397
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	f	Facebook	DK	Denmark	149	1	4925764	1613971	67531	15840
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	f	Facebook	DK	Denmark	821	1	4177788	922687	35553	7135
Lizette Risgaard		547601668763372	Facebook	f	Facebook	DK	Denmark	71	1	3730915	1569995	35272	11207
Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	f	Facebook	DK	Denmark	27	1	3599951	1453995	53355	11234
Red Barnet		67571270393	Facebook	f	Facebook	DK	Denmark	122	1	2764861	940994	44277	11060
SF	SF	74796954245	Facebook	f	Facebook	DK	Denmark	79	1	2512918	788999	21507	5355
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	f	Facebook	DK	Denmark	36	1	2421929	901987	33629	8529
Enhedslisten	Enhedslisten	223040066022	Facebook	f	Facebook	DK	Denmark	61	1	2207909	741991	17451	4338
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	f	Facebook	DK	Denmark	17	1	2130932	874975	24379	6922
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	f	Facebook	DK	Denmark	182	1	2019567	477955	7573	1553
Facebook Nordic	Facebook	334318366655425	Facebook	f	Facebook	DK	Denmark	4	1	1999996	800000	26779	5355
Pia Olsen Dyhr	SF	49348971479	Facebook	f	Facebook	DK	Denmark	64	1	1964931	604997	19714	4766
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	f	Facebook	DK	Denmark	42	1	1767937	457995	13960	3427
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	f	Facebook	DK	Denmark	33	1	1735966	559999	24579	7163
