country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	d133	2019-05-13	765	119	984620	230355	19946	833
FI	Finland	d132	2019-05-12	831	126	1163111	275955	21701	1096
FI	Finland	d131	2019-05-11	877	128	1189136	283178	22235	1112
FI	Finland	d130	2019-05-10	639	128	1130707	291679	12455	1146
FI	Finland	d129	2019-05-09	619	127	1259559	322345	13168	1365
FI	Finland	d128	2019-05-08	606	120	955043	238972	11359	1112
FI	Finland	d127	2019-05-07	609	118	1613050	599587	14651	1769
FI	Finland	d126	2019-05-06	563	115	1599334	612496	14638	1770
FI	Finland	d125	2019-05-05	515	118	1297108	527857	11153	1330
FI	Finland	d124	2019-05-04	481	117	1970837	860450	15952	4026
FI	Finland	d123	2019-05-03	478	116	1208355	481405	12078	3255
FI	Finland	d122	2019-05-02	412	105	1249993	489118	11402	3359
FI	Finland	d121	2019-05-01	348	102	1021526	435383	9725	3120
FI	Finland	d120	2019-04-30	358	107	1067505	454754	9636	3203
FI	Finland	d119	2019-04-29	366	105	1349319	581676	12334	4547
FI	Finland	d118	2019-04-28	322	100	618141	241533	6271	1716
FI	Finland	d117	2019-04-27	320	100	590612	237031	5867	1685
FI	Finland	d116	2019-04-26	352	103	581677	240192	5752	1677
FI	Finland	d115	2019-04-25	313	103	213668	67906	2208	267
FI	Finland	d114	2019-04-24	315	107	248077	84381	2551	294
FI	Finland	d113	2019-04-23	321	106	188106	56532	1959	256
FI	Finland	d112	2019-04-22	291	106	241903	86350	3545	574
FI	Finland	d111	2019-04-21	285	106	224792	84205	3355	610
FI	Finland	d110	2019-04-20	289	113	251352	93381	3738	704
FI	Finland	d109	2019-04-19	316	122	166078	53141	1847	269
FI	Finland	d108	2019-04-18	314	123	321603	84299	2867	427
FI	Finland	d107	2019-04-17	295	123	144754	43884	1382	168
FI	Finland	d106	2019-04-16	325	129	204939	53768	2321	353
FI	Finland	d105	2019-04-15	430	155	238084	68539	3691	476
FI	Finland	d104	2019-04-14	892	300	2756911	1000351	26749	5490
FI	Finland	d103	2019-04-13	978	334	2378915	766224	24695	3734
FI	Finland	d102	2019-04-12	1033	338	2268455	721012	21890	3444
FI	Finland	d101	2019-04-11	956	334	1961370	634423	18260	2844
FI	Finland	d100	2019-04-10	878	342	1817847	597001	16056	2649
FI	Finland	d099	2019-04-09	1091	360	2425021	767718	26393	3312
FI	Finland	d098	2019-04-08	1027	365	2239550	717504	20428	2868
FI	Finland	d097	2019-04-07	899	341	1777906	601476	14605	2485
FI	Finland	d096	2019-04-06	885	334	1677135	574773	14379	2308
FI	Finland	d095	2019-04-05	906	340	1811854	621267	16234	2756
FI	Finland	d094	2019-04-04	857	326	1547612	527896	14651	2338
FI	Finland	d093	2019-04-03	809	310	1489028	513477	13707	2043
FI	Finland	d092	2019-04-02	662	264	1015549	368167	10709	1616
FI	Finland	d091	2019-04-01	575	233	985968	352896	9020	1580
FI	Finland	d090	2019-03-31	566	229	824199	302392	7912	1322
