advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vattenfall Sverige		608975645850217	Facebook	65_	65+	SE	Sweden	28	1	3917334	1781656	48608	13431
Centerpartiet	Centerpartiet	12690894340	Facebook	65_	65+	SE	Sweden	199	1	1703192	587928	21433	5052
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	65_	65+	SE	Sweden	36	1	1420901	587110	15975	4788
Plan International Sverige		382243262003	Facebook	65_	65+	SE	Sweden	316	1	1182349	399512	10848	2638
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	65_	65+	SE	Sweden	45	1	1143041	335566	20767	5234
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	65_	65+	SE	Sweden	59	1	919897	344088	8835	2108
Moderaterna	Moderaterna	7719591155	Facebook	65_	65+	SE	Sweden	154	1	706426	168746	7431	1927
LO Sverige		163820136238	Facebook	65_	65+	SE	Sweden	6	1	691733	309857	7793	1800
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	65_	65+	SE	Sweden	84	1	634851	163911	6274	1573
Jörgen Warborn EU-kandidat		56002955332	Facebook	65_	65+	SE	Sweden	97	1	603601	155304	7314	1888
European Parliament		178362315106	Facebook	65_	65+	SE	Sweden	82	1	583949	254580	7497	1759
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	65_	65+	SE	Sweden	326	1	493494	133954	3444	786
Alternativ för Sverige	Alternativ för Sverige	270592853332987	Facebook	65_	65+	SE	Sweden	25	1	437000	200541	5331	1699
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	65_	65+	SE	Sweden	42	1	423397	101624	3662	916
Röda Korset		111630258867610	Facebook	65_	65+	SE	Sweden	58	1	359273	97010	1469	474
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	65_	65+	SE	Sweden	37	1	341319	74917	2344	550
Sverigedemokraterna Värmlands län		336384546384299	Facebook	65_	65+	SE	Sweden	41	1	339007	84181	2804	737
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	65_	65+	SE	Sweden	29	1	330752	111713	3029	1088
Socialdemokraterna i Stockholm	Socialdemokraterna i Stockholm	117056501654820	Facebook	65_	65+	SE	Sweden	35	1	326293	107255	3173	1015
e.on		369122343101775	Facebook	65_	65+	SE	Sweden	25	1	325595	124093	2692	766
Moderaterna i Västra Götaland	Moderaterna i Västra Götaland	295727652090	Facebook	65_	65+	SE	Sweden	50	1	324408	81353	4341	1194
Svenska kyrkans internationella arbete		197334613725511	Facebook	65_	65+	SE	Sweden	6	1	314471	120176	2911	581
Heléne Fritzon	Socialdemokraterna	767749640051136	Facebook	65_	65+	SE	Sweden	12	1	313988	62000	2536	527
Facebook Nordic	Facebook	334318366655425	Facebook	65_	65+	SE	Sweden	5	1	307995	152235	1409	285
Johan Danielsson	LO Sverige	636103536446815	Facebook	65_	65+	SE	Sweden	5	1	300009	131248	2611	759
