region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
bjelovar_bilogora_county	Bjelovar-Bilogora County	HR	Croatia	1260	337	74670	17295	288	4
brod_posavina_county	Brod-Posavina County	HR	Croatia	1368	364	57754	17402	459	9
dubrovnik_neretva_county	Dubrovnik-Neretva County	HR	Croatia	1483	408	134280	29144	597	4
istria_county	Istria County	HR	Croatia	1635	426	693313	171579	2826	17
karlovac_county	Karlovac County	HR	Croatia	1336	356	13126	4883	54	4
koprivnica_krizevci_county	Koprivnica-Križevci County	HR	Croatia	1275	335	13170	4557	146	4
krapina_zagorje_county	Krapina-Zagorje County	HR	Croatia	1231	320	62811	14053	237	2
lika_senj_county	Lika-Senj County	HR	Croatia	1044	278	40217	8432	73	0
medimurje_county	Međimurje County	HR	Croatia	1332	356	49486	20698	326	6
osijek_baranja_county	Osijek-Baranja County	HR	Croatia	1640	447	416723	121424	1754	71
pozega_slavonia_county	Požega-Slavonia County	HR	Croatia	1190	302	23224	7275	193	2
primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	1723	473	365843	90737	1577	31
sisak_moslavina_county	Sisak-Moslavina County	HR	Croatia	1326	346	25810	9408	102	7
split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1767	491	585713	219575	2240	159
varazdin_county	Varaždin County	HR	Croatia	1451	370	90521	28419	638	10
virovitica_podravina_county	Virovitica-Podravina County	HR	Croatia	1187	301	14823	4702	122	3
vukovar_srijem_county	Vukovar-Srijem County	HR	Croatia	1364	362	70680	27481	410	13
zadar_county	Zadar County	HR	Croatia	1515	415	32389	11630	103	9
zagreb	Zagreb	HR	Croatia	2094	558	2392214	824323	9640	848
zagreb_county	Zagreb County	HR	Croatia	1385	361	25310	9025	87	7
sibenik_knin_county	Šibenik-Knin County	HR	Croatia	1332	348	13604	4523	56	2
