advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	u65_	unknown (65+)	3610	1	334643	97028	4058	577
People's Vote UK	People's Vote	748608695327755	Facebook	u65_	unknown (65+)	2542	1	204590	69668	3905	671
38 Degrees	38 Degrees	200006375787	Facebook	u65_	unknown (65+)	622	1	133387	47908	944	132
Best For Britain	Best for Britain	1863944713844924	Facebook	u65_	unknown (65+)	565	1	122612	51539	1817	424
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	u65_	unknown (65+)	1721	1	103267	32439	1619	146
We are the 52%	We are the 52%	466744973727718	Facebook	u65_	unknown (65+)	276	1	96102	34223	289	37
The Labour Party	The Labour Party	25749647410	Facebook	u65_	unknown (65+)	534	1	71623	27017	660	136
Conservatives	The Conservative Party	8807334278	Facebook	u65_	unknown (65+)	698	1	66418	23944	1206	138
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	u65_	unknown (65+)	492	1	56267	19544	1263	205
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	u65_	unknown (65+)	417	1	51235	18187	831	132
The Brexit Party	The Brexit Party	230416667843105	Facebook	u65_	unknown (65+)	71	1	43931	20810	615	184
European Parliament		178362315106	Facebook	u65_	unknown (65+)	660	1	34392	14166	234	49
Greenpeace France		39435457457	Facebook	u65_	unknown (65+)	107	1	33349	15005	169	39
Right To Vote	Right to Vote	408236463256774	Facebook	u65_	unknown (65+)	346	1	29483	7275	281	35
Sosialidemokraatit SDP		108945982480217	Facebook	u65_	unknown (65+)	217	1	26121	9984	164	31
Podemos	Unidas Podemos	269212336568846	Facebook	u65_	unknown (65+)	176	1	25215	11409	161	42
Vattenfall Sverige		608975645850217	Facebook	u65_	unknown (65+)	25	1	24774	11416	326	89
Ciudadanos	Ciudadanos	74078667754	Facebook	u65_	unknown (65+)	1654	1	23344	7259	221	18
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	u65_	unknown (65+)	120	1	21914	7676	152	30
TheArticle	TheArticle	607840469632004	Facebook	u65_	unknown (65+)	25	1	21401	9525	313	68
Médecins du Monde France		265420476920	Facebook	u65_	unknown (65+)	424	1	21042	6192	416	24
Scientists for EU	Scientists for EU	642444842524195	Facebook	u65_	unknown (65+)	57	1	20901	6543	128	20
Amnesty International UK		7624294394	Facebook	u65_	unknown (65+)	77	1	20371	8682	209	64
Plan International Sverige		382243262003	Facebook	u65_	unknown (65+)	281	1	20249	6468	179	42
Oxfam Great Britain	Oxfam GB	7214031395	Facebook	u65_	unknown (65+)	60	1	18661	6813	305	62
