audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	158771	22744	647801408	241751446	4334012	648408
m18_24	male (18-24)	143190	21028	550395853	207296603	3414469	495689
f18_24	female (18-24)	144131	21326	506602496	192090713	3157602	462788
f25_34	female (25-34)	161647	23152	501004667	186785157	3554244	544273
m35_44	male (35-44)	161309	22560	483383768	176958846	3448621	509580
f35_44	female (35-44)	164465	23008	413537043	151379465	3170614	478692
m45_54	male (45-54)	157143	21965	406995562	144722468	3178175	452522
f45_54	female (45-54)	161843	22404	380966561	136013142	3112826	447062
f55_64	female (55-64)	154392	21250	333734151	116586526	2825960	380356
m55_64	male (55-64)	149420	20908	287867915	99227306	2421893	318346
f65_	female (65+)	139942	19362	243268523	83493714	2214063	304537
m65_	male (65+)	136555	19083	202136236	68818990	1792650	240016
f13_17	female (13-17)	19107	4755	49414443	18202472	204985	18696
m13_17	male (13-17)	19456	4717	41575688	15394023	192731	17619
u35_44	unknown (35-44)	111533	18464	9341520	3340568	80165	12382
u25_34	unknown (25-34)	98530	17340	6687028	2415072	53990	8228
u45_54	unknown (45-54)	103355	17297	6076676	2102873	62831	9407
u55_64	unknown (55-64)	87449	14944	3874779	1296676	44964	6458
u65_	unknown (65+)	81223	13981	3715568	1242015	43090	6162
u18_24	unknown (18-24)	67550	13121	2282046	810506	20025	2719
u13_17	unknown (13-17)	7687	2606	192453	66413	1207	93
